NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PAT,2PA,2P%,2PM,3PAT,3PA,3P%,3PM,FGA,FGM,FG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI,FTM,PER_n,PER,eFG%
Isaiah Thomas,Sac,PG,24,72,34.5,71.2,26.4,0.143,407,0.85,732,10.16666667,0.504,5.124,364,5.055555556,0.349,1.764388889,15.22222222,6.888388889,0.452521898,0.574,20.3,2.9,4.8,6.3,32.5,1.29,0.11,8.3,4.804861111,28.94711458,21.13139365,0.510476277
Lance Thomas,Nor,SF,25,5,8.3,15,14,0.157,4,0.5,9,1.8,0.222,0.3996,0,0,0,0,1.8,0.3996,0.222,0.279,1.2,1.4,9.8,0.6,9.9,0,0,4.8,0.4,3.081858635,2.249756803,0.222
Malcolm Thomas,San,PF,25,1,14.4,22.9,18.4,0.17,2,0,4,4,0.25,1,0,0,0,0,4,1,0.25,0.205,2,9,35.2,0,0,0,2,0,0,0,0,0.25
Malcolm Thomas,Uta,PF,25,7,6.7,13.2,19.5,0.4,0,0,8,1.142857143,0.625,0.714285714,4,0.571428571,0.25,0.142857143,1.714285714,0.857142857,0.5,0.542,1.9,1.7,14.8,0.3,6.9,0,0.14,5.9,0,10.41857555,7.60556015,0.541666667
Hollis Thompson,Phi,SF,22,77,22.4,46.3,11.4,0.129,73,0.712,205,2.662337662,0.507,1.349805195,167,2.168831169,0.401,0.869701299,4.831168831,2.219506494,0.459413978,0.57,6,3.2,7.7,0.9,6.2,0.69,0.16,4.6,0.675012987,13.03209019,9.513425839,0.549423387
Jason Thompson,Sac,PF,27,82,24.3,50.2,14.5,0.145,145,0.579,496,6.048780488,0.506,3.060682927,0,0,0,0,6.048780488,3.060682927,0.506,0.523,7.1,6.4,15,0.6,4.1,0.39,0.68,5,1.023841463,16.16369203,11.79949518,0.506
Klay Thompson,Gol,SG,23,81,35.2,72.8,22.8,0.092,185,0.795,724,8.938271605,0.464,4.147358025,535,6.604938272,0.417,2.754259259,15.54320988,6.901617284,0.4440278,0.555,18.4,3.1,4.8,2.2,10.2,0.93,0.46,5.7,1.815740741,19.8395318,14.48285821,0.532627879
Tristan Thompson,Cle,PF,22,82,31.4,64.6,17.6,0.106,339,0.693,760,9.268292683,0.478,4.430243902,1,0.012195122,0,0,9.280487805,4.430243902,0.477371879,0.528,11.7,9.2,16.4,0.9,4.5,0.51,0.43,5.9,2.864963415,20.01838836,14.61342351,0.477371879
Marcus Thornton,Sac,SG,26,46,24.2,49.7,17.2,0.088,52,0.808,194,4.217391304,0.438,1.847217391,179,3.891304348,0.318,1.237434783,8.108695652,3.084652174,0.380412869,0.484,8.3,2.7,6.3,1,6.6,0.67,0.17,4.7,0.913391304,12.31860216,8.99257958,0.456715818
Marcus Thornton,Bro,SG,26,26,23.7,47.7,24.6,0.09,60,0.8,129,4.961538462,0.45,2.232692308,137,5.269230769,0.38,2.002307692,10.23076923,4.235,0.413947368,0.547,12.3,2.8,7.2,1.2,8.7,1.04,0.12,5.8,1.846153846,20.55978467,15.00864281,0.511804511
Jamaal Tinsley,Uta,PG,35,8,13.6,27,12.2,0.31,0,0,5,0.625,0.6,0.375,15,1.875,0.067,0.125625,2.5,0.500625,0.20025,0.225,1.1,1.4,5.8,2.9,29.8,0.25,0,4.8,0,6.216439507,4.53800084,0.225375
Anthony Tolliver,Cha,PF,28,64,20.1,41.3,12.5,0.066,41,0.805,60,0.9375,0.45,0.421875,247,3.859375,0.413,1.593921875,4.796875,2.015796875,0.42023127,0.605,6.1,2.6,7.4,0.7,5,0.3,0.23,4.4,0.515703125,12.7424639,9.301998647,0.586372964
P.J. Tucker,Pho,SF,28,81,30.6,63.4,14.3,0.127,201,0.776,424,5.234567901,0.45,2.355555556,191,2.358024691,0.387,0.912555556,7.592592593,3.268111111,0.430434146,0.54,9.4,6.5,12,1.7,8.1,1.36,0.28,6.1,1.92562963,17.72744357,12.94103381,0.490529268
Ronny Turiaf,Min,PF,31,31,19.3,39.4,10.9,0.157,50,0.42,107,3.451612903,0.598,2.064064516,0,0,0,0,3.451612903,2.064064516,0.598,0.578,4.8,5.6,15.8,0.7,5.5,0.26,1.61,5.5,0.677419355,18.75534913,13.69140486,0.598
