NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PAT,2PA,2P%,2PM,3PAT,3PA,3P%,3PM,FGA,FGM,FG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,VI,BPG,FTM,PER_n,PER,eFG%
Jrue Holiday,Phi,PG,22,81,36.9,76.6,26.5,0.173,250,0.752,1054,13.01234568,0.445,5.790493827,257,3.172839506,0.366,1.161259259,16.18518519,6.951753086,0.429513349,0.495,17.4,4.1,6.3,7.8,36.1,0.47,8.9,1.56,2.320987654,21.75974428,18.08015242,0.46538749
Kawhi Leonard,San,SF,21,58,30.7,63,16.6,0.096,126,0.825,352,6.068965517,0.554,3.362206897,174,3,0.374,1.122,9.068965517,4.484206897,0.494456274,0.592,11.9,6,11.2,1.6,7.8,0.55,6.3,1.67,1.792241379,19.21820619,15.96839065,0.556315589
Keith Bogans,Bro,SG,32,74,18.8,38.9,11.3,0.144,17,0.647,39,0.527027027,0.615,0.324121622,245,3.310810811,0.343,1.135608108,3.837837838,1.45972973,0.380352113,0.533,4.2,1.6,5.1,1,8.2,0.05,4,0.38,0.148635135,7.877477903,6.545389474,0.528301056
Kemba Walker,Cha,PG,22,82,34.7,71.8,25.7,0.125,371,0.798,912,11.12195122,0.459,5.10497561,332,4.048780488,0.322,1.303707317,15.17073171,6.408682927,0.422437299,0.517,17.7,3.5,5.7,5.7,31.3,0.38,8.1,1.95,3.610463415,22.00410331,18.28319012,0.465405145
Kendall Marshall,Pho,PG,21,48,14.4,29.8,13.7,0.266,14,0.571,78,1.625,0.423,0.687375,73,1.520833333,0.315,0.4790625,3.145833333,1.1664375,0.370788079,0.455,3,0.9,3.4,3,29.8,0.08,5.6,0.46,0.166541667,11.35848364,9.437754086,0.446930464
Kendrick Perkins,Okc,C,28,78,24.8,51.3,10.7,0.24,72,0.611,313,4.012820513,0.46,1.845897436,1,0.012820513,0,0,4.025641026,1.845897436,0.458535032,0.48,4.3,6,13.8,1.4,8,1.06,5.3,0.55,0.564,12.85361252,10.68005536,0.458535032
Kenneth Faried,Den,PF,23,80,27.8,57.3,17.9,0.123,266,0.613,689,8.6125,0.552,4.7541,0,0,0,0,8.6125,4.7541,0.552,0.573,11.5,9.2,18.5,1,5.2,1.05,6.8,1.01,2.038225,22.63720325,18.80923231,0.552
Kenyon Martin,Nyk,PF,35,18,23.8,49,13.8,0.126,40,0.425,93,5.166666667,0.602,3.110333333,0,0,0,0,5.166666667,3.110333333,0.602,0.583,7.2,5.2,12.8,0.4,3,0.94,4.1,0.89,0.944444444,16.18561998,13.44861743,0.602
Kevin Durant,Okc,SF,24,81,38.3,79.2,29.9,0.137,750,0.905,1099,13.56790123,0.539,7.313098765,334,4.12345679,0.416,1.715358025,17.69135802,9.02845679,0.510331472,0.647,28.1,7.9,11.8,4.6,21.8,1.3,10.5,1.43,8.37962963,34.68112634,28.81651743,0.558811584
Kevin Garnett,Bos,C,36,68,29.5,60.1,24.7,0.105,201,0.786,834,12.26470588,0.504,6.181411765,16,0.235294118,0.125,0.029411765,12.5,6.210823529,0.496865882,0.535,14.8,7.8,15.6,2.3,14.5,0.91,8.7,1.15,2.323323529,23.69657913,19.6894668,0.498042353
Kevin Jones,Cle,PF,23,32,10.3,21.2,16.5,0.066,15,0.6,107,3.34375,0.402,1.3441875,0,0,0,0,3.34375,1.3441875,0.402,0.418,3,2.4,13.8,0.3,4.9,0.16,5,0.28,0.28125,9.179437621,7.62718666,0.402
Kevin Love,Min,PF,24,18,34.1,70.2,29.1,0.098,142,0.704,206,11.44444444,0.413,4.726555556,92,5.111111111,0.217,1.109111111,16.55555556,5.835666667,0.352489933,0.458,18.3,14,23.5,2.3,11.9,0.5,9.8,0.72,5.553777778,22.49055531,18.68738266,0.385986577
Kevin Martin,Okc,SG,29,77,27.5,56.9,21.2,0.102,246,0.89,407,5.285714286,0.472,2.494857143,371,4.818181818,0.426,2.052545455,10.1038961,4.547402597,0.450064267,0.608,14,2.3,4.8,1.4,8,0.1,5.2,0.94,2.843376623,18.61474259,15.46697328,0.551636247
Kevin Seraphin,Was,C,23,79,21.6,44.6,23.7,0.147,88,0.693,716,9.063291139,0.461,4.178177215,0,0,0,0,9.063291139,4.178177215,0.461,0.478,9.1,4.4,11.2,0.7,6.2,0.75,5.6,0.3,0.771949367,15.57883705,12.94444203,0.461
Keyon Dooling,Mem,PG,32,7,11.5,22.2,16.7,0.172,7,0.857,9,1.285714286,0.556,0.714857143,12,1.714285714,0.417,0.714857143,3,1.429714286,0.476571429,0.644,4.4,0.1,0.7,1.1,16,0,2.7,0.14,0.857,12.49894492,10.38536236,0.595714286
Khris Middleton,Det,SF,21,27,17.4,35.6,16.1,0.066,32,0.844,96,3.555555556,0.5,1.777777778,45,1.666666667,0.311,0.518333333,5.222222222,2.296111111,0.439680851,0.532,6.1,1.9,6.1,1,9.6,0.15,5.2,0.56,1.000296296,12.8798931,10.70189186,0.489308511
Kirk Hinrich,Chi,PG,32,60,29.2,60.2,14.8,0.175,98,0.714,240,4,0.367,1.468,182,3.033333333,0.39,1.183,7.033333333,2.651,0.376919431,0.493,7.7,2.6,5.2,5.2,27.6,0.42,6.4,1.05,1.1662,14.71054455,12.22297855,0.461018957
Klay Thompson,Gol,SG,22,82,35.3,73,22.2,0.11,157,0.841,680,8.292682927,0.437,3.623902439,525,6.402439024,0.402,2.573780488,14.69512195,6.197682927,0.421751037,0.533,16.6,3.7,5.8,2.2,10.3,0.54,5.8,1.05,1.610207317,16.88553898,14.03017951,0.509323652
Kobe Bryant,Lal,SG,34,78,38.4,79.7,32,0.133,626,0.839,1188,15.23076923,0.51,7.767692308,407,5.217948718,0.324,1.690615385,20.44871795,9.458307692,0.462537931,0.57,27.3,5.6,8,6,29.9,0.32,10.1,1.36,6.733512821,29.38788588,24.41836857,0.503875862
Kosta Koufos,Den,C,23,81,22.2,45.7,14.6,0.087,104,0.558,507,6.259259259,0.582,3.642888889,1,0.012345679,0,0,6.271604938,3.642888889,0.580854331,0.585,8,6.9,17.5,0.4,2.6,1.27,5.1,0.54,0.716444444,20.49288656,17.02752145,0.580854331
Kris Humphries,Bro,PF,27,65,18.1,37.3,16.5,0.135,123,0.789,308,4.738461538,0.451,2.137046154,2,0.030769231,0,0,4.769230769,2.137046154,0.448090323,0.515,5.8,5.6,18.3,0.5,4.4,0.51,5.6,0.25,1.493030769,15.87023367,13.18656322,0.448090323
Kwame Brown,Phi,C,30,22,12,24.7,9.3,0.15,19,0.368,37,1.681818182,0.459,0.771954545,0,0,0,0,1.681818182,0.771954545,0.459,0.452,1.9,3.4,15.8,0.4,4.8,0.45,4.6,0.27,0.317818182,10.30408797,8.561657651,0.459
Kyle Korver,Atl,SF,31,74,30.3,62.5,14.6,0.099,78,0.859,187,2.527027027,0.471,1.19022973,414,5.594594595,0.457,2.55672973,8.121621622,3.746959459,0.461356073,0.637,10.9,4,7.5,2,10,0.5,5.9,0.95,0.905432432,16.83478705,13.98800978,0.618758735
Kyle Lowry,Tor,PG,26,68,29.5,60.4,20.5,0.177,239,0.795,344,5.058823529,0.433,2.190470588,279,4.102941176,0.362,1.485264706,9.161764706,3.675735294,0.401203852,0.543,11.6,4.7,9.5,6.4,34.9,0.35,9.5,1.38,2.794191176,22.36268186,18.58113273,0.482261637
Kyle O’Quinn,Orl,PF,22,57,11,22.8,18.4,0.146,45,0.667,196,3.438596491,0.515,1.770877193,1,0.01754386,0,0,3.456140351,1.770877193,0.512385787,0.535,4.1,3.7,18.8,0.9,13.3,0.46,8.7,0.19,0.526578947,19.7329058,16.39605411,0.512385787
Kyle Singler,Det,SF,24,82,27.8,57.5,15.9,0.123,124,0.806,442,5.390243902,0.464,2.501073171,200,2.43902439,0.35,0.853658537,7.829268293,3.354731707,0.428485981,0.517,8.8,4,8.3,1,5.4,0.45,4.7,0.7,1.218829268,12.53628601,10.41638904,0.483003115
Kyrie Irving,Cle,PG,20,59,34.5,71.7,30.4,0.138,290,0.855,791,13.40677966,0.474,6.354813559,279,4.728813559,0.391,1.848966102,18.13559322,8.203779661,0.452357944,0.553,22.5,3.7,6.1,5.9,33,0.36,9.1,1.51,4.202542373,26.81643763,22.28175448,0.503334112
Lamar Odom,Lac,SF,33,82,19.5,40.6,13.4,0.183,42,0.476,276,3.365853659,0.464,1.561756098,90,1.097560976,0.2,0.219512195,4.463414634,1.781268293,0.399081967,0.429,4,5.9,17.9,1.7,12.5,0.71,7,0.84,0.243804878,15.01658186,12.47726468,0.423672131
LaMarcus Aldridge,Por,PF,27,74,37.5,77.5,26.6,0.089,348,0.81,1303,17.60810811,0.487,8.575148649,14,0.189189189,0.143,0.027054054,17.7972973,8.602202703,0.483343204,0.53,21.1,9.1,14,2.6,13.1,1.23,8.5,0.84,3.809189189,23.98899308,19.93243329,0.484103265
Lance Stephenson,Ind,PG,22,78,29,60,15.3,0.144,115,0.652,411,5.269230769,0.518,2.729461538,188,2.41025641,0.33,0.795384615,7.679487179,3.524846154,0.458994992,0.529,8.8,3.9,7.5,2.9,16.3,0.21,6.4,1.05,0.961282051,14.52229559,12.06656265,0.510781302
Lance Thomas,Nor,PF,24,59,10.8,22.3,10.7,0.096,59,0.729,106,1.796610169,0.5,0.898305085,0,0,0,0,1.796610169,0.898305085,0.5,0.565,2.5,1.9,10.8,0.3,3.8,0.12,4.2,0.19,0.729,9.386948628,7.799607373,0.5
Landry Fields,Tor,SG,24,51,20.1,40.9,13,0.146,53,0.642,209,4.098039216,0.478,1.958862745,14,0.274509804,0.143,0.039254902,4.37254902,1.998117647,0.45696861,0.487,4.7,4.1,12,1.2,9,0.16,5.7,0.63,0.667176471,11.73519967,9.750767106,0.461457399
Larry Sanders,Mil,PF,24,71,27.1,56,17,0.116,136,0.618,603,8.492957746,0.507,4.305929577,2,0.028169014,0,0,8.521126761,4.305929577,0.505323967,0.523,9.8,9.5,18.8,1.2,6.9,2.8,7.1,0.75,1.183774648,23.83154437,19.8016093,0.505323967
Lavoy Allen,Phi,PF,23,79,20.9,43.4,14.9,0.103,60,0.717,453,5.734177215,0.455,2.609050633,1,0.012658228,0,0,5.746835443,2.609050633,0.453997797,0.474,5.8,5,13.5,0.9,6.8,0.7,5.7,0.3,0.544556962,13.39019352,11.12590004,0.453997797
Leandro Barbosa,Bos,PG,30,41,12.3,24.7,21.7,0.091,41,0.756,146,3.56097561,0.445,1.584634146,47,1.146341463,0.383,0.43904878,4.707317073,2.023682927,0.429901554,0.509,5.2,1.1,5.4,1.4,19.4,0.15,6.5,0.41,0.756,14.94652278,12.41905266,0.476536269
LeBron James,Mia,SF,28,76,37.6,77.6,30.3,0.124,536,0.752,1100,14.47368421,0.602,8.713157895,254,3.342105263,0.406,1.356894737,17.81578947,10.07005263,0.565231905,0.64,26.8,8,13.2,7.3,36.7,0.88,12.4,1.7,5.303578947,36.10546658,30.00000048,0.603313146
Linas Kleiza,Tor,SF,28,20,18.6,36.5,21.8,0.08,38,0.842,78,3.9,0.359,1.4001,66,3.3,0.303,0.9999,7.2,2.4,0.333333333,0.46,7.4,2.6,8.3,0.8,7,0.1,5.3,0.2,1.5998,10.87869057,9.039094446,0.402770833
Louis Amundson,Nor,PF,30,18,11.4,23.2,13,0.14,16,0.5,42,2.333333333,0.429,1.001,0,0,0,0,2.333333333,1.001,0.429,0.449,2.4,3.2,16.9,0.4,5.9,0.33,5.1,0.5,0.444444444,11.66626834,9.693492117,0.429
Louis Williams,Atl,SG,26,39,28.5,58.3,23.8,0.13,121,0.868,247,6.333333333,0.466,2.951333333,196,5.025641026,0.367,1.844410256,11.35897436,4.79574359,0.422198646,0.555,14.1,2.1,4.1,3.6,20.6,0.26,6.7,1.13,2.693025641,19.75757162,16.41654891,0.503386004
Luc Mbah a Moute,Mil,PF,26,58,22.7,46.8,16.6,0.139,126,0.571,340,5.862068966,0.406,2.38,37,0.637931034,0.351,0.223913793,6.5,2.603913793,0.400602122,0.447,6.7,4.4,10.4,0.9,6.2,0.24,5.3,0.72,1.240448276,11.34392024,9.425653371,0.41782626
Luis Scola,Pho,PF,32,82,26.5,54.8,23.4,0.111,230,0.787,898,10.95121951,0.478,5.234682927,16,0.195121951,0.188,0.036682927,11.14634146,5.271365854,0.472923414,0.516,12.8,6.6,14.2,2.2,14.6,0.43,8.6,0.82,2.207439024,21.16716217,17.58777646,0.474568928
Luke Babbitt,Por,SF,23,62,11.6,23.9,16.7,0.084,13,0.769,56,0.903225806,0.429,0.387483871,178,2.870967742,0.348,0.999096774,3.774193548,1.386580645,0.367384615,0.509,3.9,2.2,11.1,0.5,6.3,0.08,5.6,0.23,0.161241935,11.05528898,9.185829907,0.49974359
Luke Ridnour,Min,PG,31,82,30,62.3,18.5,0.128,164,0.848,599,7.304878049,0.503,3.674353659,212,2.585365854,0.311,0.80404878,9.890243902,4.478402439,0.452810111,0.532,11.5,2.5,4.8,3.8,21.2,0.18,6.4,1,1.696,16.29942184,13.5431753,0.493458693
Luke Walton,Cle,SF,32,50,17,35.2,13.1,0.24,20,0.5,114,2.28,0.447,1.01916,67,1.34,0.299,0.40066,3.62,1.41982,0.39221547,0.453,3.4,2.9,9.9,3.3,29,0.26,7.5,0.84,0.2,14.89129578,12.37316459,0.447555249
Luol Deng,Chi,SF,27,75,38.2,79,21.8,0.105,282,0.816,860,11.46666667,0.455,5.217333333,233,3.106666667,0.322,1.000346667,14.57333333,6.21768,0.426647758,0.508,16.5,6.3,9.5,3,13.5,0.43,7.1,1.08,3.06816,17.3885454,14.4481271,0.460968893
Malcolm Lee,Min,SG,22,16,17.9,36.8,14.8,0.105,20,0.6,52,3.25,0.404,1.313,24,1.5,0.333,0.4995,4.75,1.8125,0.381578947,0.46,4.9,2.4,7.8,1.2,10.3,0.38,5.4,0.75,0.75,11.23966646,9.339028994,0.434157895
Manu Ginobili,San,SG,35,60,22.8,46.8,25.6,0.172,206,0.796,304,5.066666667,0.48,2.432,235,3.916666667,0.353,1.382583333,8.983333333,3.814583333,0.424628942,0.56,11.8,3.4,8.5,4.6,31.3,0.22,10,1.33,2.732933333,25.24941548,20.97971715,0.501581633
Marc Gasol,Mem,C,28,80,34.8,72,19.3,0.135,316,0.848,855,10.6875,0.501,5.3544375,14,0.175,0.071,0.012425,10.8625,5.3668625,0.494072497,0.559,14.1,7.8,13.2,4,19.2,1.74,8.7,1,3.3496,23.08313031,19.17975271,0.494644419
Marcin Gortat,Pho,C,28,61,30.6,63.1,17.3,0.136,138,0.652,563,9.229508197,0.524,4.836262295,3,0.049180328,0,0,9.278688525,4.836262295,0.521222615,0.543,11.1,8.5,15.7,1.2,6.5,1.61,6.3,0.66,1.475016393,19.76026814,16.41878945,0.521222615
Marco Belinelli,Chi,SG,26,73,25.4,52.4,19,0.107,168,0.839,389,5.328767123,0.416,2.216767123,221,3.02739726,0.357,1.080780822,8.356164384,3.297547945,0.39462459,0.513,9.6,1.9,4.3,2,13.2,0.08,5.2,0.6,1.930849315,12.91398936,10.73022242,0.459294262
Marcus Camby,Nyk,C,38,24,10.2,21.1,14.6,0.196,19,0.421,53,2.208333333,0.321,0.708875,0,0,0,0,2.208333333,0.708875,0.321,0.342,1.8,3.3,19.1,0.6,8.3,0.58,6,0.29,0.333291667,10.84190279,9.008527513,0.321
Marcus Morris,Hou,PF,23,54,21.2,43.8,18.6,0.109,75,0.653,206,3.814814815,0.471,1.796777778,194,3.592592593,0.381,1.368777778,7.407407407,3.165555556,0.42735,0.537,8.6,4.1,10.9,0.9,6.4,0.3,6,0.5,0.906944444,15.70562902,13.04979336,0.5197425
Marcus Morris,Pho,PF,23,23,15.9,32.3,20.5,0.142,42,0.405,87,3.782608696,0.448,1.694608696,39,1.695652174,0.308,0.52226087,5.47826087,2.216869565,0.404666667,0.453,5.7,2.5,9,0.7,6.5,0.17,5.4,0.78,0.739565217,11.75543129,9.767577535,0.452333333
Marcus Thornton,Sac,SG,25,72,23.8,49.2,23.3,0.076,126,0.881,395,5.486111111,0.484,2.655277778,379,5.263888889,0.372,1.958166667,10.75,4.613444444,0.429157623,0.552,12.7,2.5,6,1.3,9.1,0.06,5.8,0.85,1.54175,17.9585648,14.92175573,0.520235142
Mario Chalmers,Mia,PG,26,77,26.7,55,16.2,0.171,112,0.795,228,2.961038961,0.456,1.350233766,301,3.909090909,0.409,1.598818182,6.87012987,2.949051948,0.429257089,0.576,8.6,2.2,5.1,3.5,19.4,0.16,6.1,1.53,1.156363636,16.2715918,13.52005134,0.545617202
Markieff Morris,Pho,PF,23,82,22.2,45.9,19.9,0.128,127,0.732,519,6.329268293,0.426,2.696268293,134,1.634146341,0.336,0.549073171,7.963414634,3.245341463,0.407531394,0.473,8.2,4.8,12.4,1.3,9.5,0.78,6.7,0.94,1.133707317,16.37871552,13.60906035,0.442006126
Marquis Daniels,Mil,SG,32,59,18.2,37.5,17.1,0.107,54,0.741,279,4.728813559,0.401,1.896254237,72,1.220338983,0.278,0.339254237,5.949152542,2.235508475,0.375769231,0.432,5.5,2.5,7.5,1.1,9.1,0.17,5.4,0.86,0.67820339,10.57775775,8.789049624,0.404282051
Marreese Speights,Mem,PF,25,40,14.3,29.4,25.1,0.112,67,0.716,242,6.05,0.43,2.6015,5,0.125,0.4,0.05,6.175,2.6515,0.429392713,0.474,6.6,4.7,19.5,0.5,5.6,0.68,7,0.25,1.1993,19.09584324,15.86671938,0.433441296
Marreese Speights,Cle,PF,25,39,18.3,37.9,26.8,0.105,108,0.806,332,8.512820513,0.461,3.924410256,5,0.128205128,0.2,0.025641026,8.641025641,3.950051282,0.457127596,0.515,10.2,5.1,16,0.7,7.5,0.67,7.2,0.36,2.232,22.10418911,18.36635133,0.458611276
MarShon Brooks,Bro,SG,24,73,12.3,25.4,22.8,0.155,94,0.734,280,3.835616438,0.5,1.917808219,55,0.753424658,0.273,0.205684932,4.589041096,2.123493151,0.462731343,0.523,5.4,1.4,6.8,1,14.8,0.22,6.4,0.47,0.945150685,15.83327245,13.15585218,0.485141791
Martell Webster,Was,SG,26,76,28.8,59.4,17,0.111,198,0.848,307,4.039473684,0.463,1.870276316,329,4.328947368,0.422,1.826815789,8.368421053,3.697092105,0.441790881,0.601,11.4,3.9,7.5,1.9,10.8,0.22,6.1,0.66,2.209263158,16.6803437,13.85968293,0.550940251
Marvin Williams,Uta,SF,26,74,23.3,48,15.5,0.105,105,0.79,314,4.243243243,0.478,2.02827027,168,2.27027027,0.321,0.728756757,6.513513514,2.757027027,0.423278008,0.516,7.4,3.6,9,1.1,7.3,0.5,5.3,0.51,1.120945946,13.05198263,10.84488091,0.479219917
Matt Barnes,Lac,SF,32,80,25.5,53.1,18.3,0.11,117,0.744,350,4.375,0.574,2.51125,325,4.0625,0.342,1.389375,8.4375,3.900625,0.462296296,0.566,10.3,4.6,10.7,1.5,9.3,0.79,6.5,1.03,1.0881,18.65214851,15.49805382,0.54462963
Matt Bonner,San,C,32,68,13.1,27,13,0.063,15,0.733,109,1.602941176,0.541,0.867191176,121,1.779411765,0.438,0.779382353,3.382352941,1.646573529,0.486813043,0.609,4.2,1.9,8.4,0.5,5.9,0.26,4.8,0.25,0.161691176,12.82415559,10.65557962,0.602026087
Maurice Harkless,Orl,SF,19,76,25.8,53.4,16,0.1,128,0.57,447,5.881578947,0.51,2.999605263,117,1.539473684,0.274,0.421815789,7.421052632,3.421421053,0.461042553,0.504,8.2,4.4,9.7,0.7,3.9,0.82,4.5,1.16,0.96,14.1935405,11.79340034,0.489462766
Metta World Peace,Lal,SF,33,75,33.5,69.6,17.6,0.098,169,0.734,412,5.493333333,0.464,2.548906667,412,5.493333333,0.342,1.87872,10.98666667,4.427626667,0.403,0.517,12.4,5,8.1,1.5,7,0.56,5.4,1.63,1.653946667,15.18740485,12.61920136,0.4885
Meyers Leonard,Por,C,20,69,17.3,35.7,14,0.134,89,0.809,270,3.913043478,0.548,2.144347826,7,0.101449275,0.429,0.043521739,4.014492754,2.187869565,0.54499278,0.596,5.5,3.7,12.4,0.5,4.4,0.55,5,0.16,1.043492754,15.20803867,12.63634598,0.550413357
Michael Beasley,Pho,SF,24,75,20.5,42.5,27.9,0.149,126,0.746,622,8.293333333,0.426,3.53296,144,1.92,0.313,0.60096,10.21333333,4.13392,0.40475718,0.462,10.1,3.8,10.4,1.5,12.6,0.45,7.5,0.41,1.25328,16.61829913,13.80813016,0.434177546
Michael Kidd-Gilchrist,Cha,SF,19,78,25.7,53.3,18,0.127,187,0.749,604,7.743589744,0.462,3.577538462,9,0.115384615,0.222,0.025615385,7.858974359,3.603153846,0.458476346,0.506,9,5.8,13,1.5,10.2,0.9,6.7,0.69,1.795679487,17.07179754,14.18494159,0.460106036
Mickael Gelabale,Min,SF,29,36,17.7,36.6,11.7,0.097,24,0.875,87,2.416666667,0.644,1.556333333,52,1.444444444,0.308,0.444888889,3.861111111,2.001222222,0.518302158,0.605,5,2.8,8.9,0.7,6.5,0.11,4.8,0.44,0.583333333,12.5482998,10.42637129,0.575913669
Mickael Pietrus,Tor,SG,30,19,20.1,39.4,14.8,0.131,18,0.667,34,1.789473684,0.412,0.737263158,64,3.368421053,0.313,1.054315789,5.157894737,1.791578947,0.347346939,0.472,5.3,1.9,5.6,0.5,3.6,0.32,3.4,0.63,0.631894737,8.205116646,6.817624217,0.44955102
Mike Conley,Mem,PG,25,80,34.2,70.9,21.1,0.152,282,0.83,646,8.075,0.477,3.851775,294,3.675,0.361,1.326675,11.75,5.17845,0.440719149,0.549,14.6,2.8,4.9,6.1,29.7,0.3,7.4,2.15,2.92575,21.07185639,17.50858698,0.497173404
Mike Dunleavy,Mil,SF,32,75,25.7,53.1,17.4,0.117,128,0.82,325,4.333333333,0.455,1.971666667,299,3.986666667,0.428,1.706293333,8.32,3.67796,0.4420625,0.577,10.5,3.9,8.1,1.9,11.7,0.47,6.6,0.52,1.399466667,17.33934706,14.40724825,0.544604167
Mike James,Dal,PG,37,45,18.9,38.4,18.1,0.16,29,0.793,146,3.244444444,0.363,1.177733333,125,2.777777778,0.384,1.066666667,6.022222222,2.2444,0.372686347,0.481,6.1,1.6,4.6,3.1,24.1,0.07,6.6,0.56,0.511044444,13.48939121,11.20832331,0.461247233
Mike Miller,Mia,SG,32,59,15.1,31,14.6,0.129,11,0.727,56,0.949152542,0.482,0.457491525,175,2.966101695,0.417,1.236864407,3.915254237,1.694355932,0.432757576,0.596,4.8,2.7,10.9,1.7,16.4,0.07,7.4,0.36,0.135542373,15.24014092,12.66301971,0.590712121
Mo Williams,Uta,PG,29,45,30.6,62.7,22.4,0.181,79,0.873,369,8.2,0.447,3.6654,152,3.377777778,0.388,1.310577778,11.57777778,4.975977778,0.429786948,0.518,12.8,2.4,4.6,6.2,33.6,0.2,7.5,1,1.5326,19.20150315,15.95451211,0.486385796
Monta Ellis,Mil,SG,27,82,37.3,77.2,26.4,0.137,374,0.773,1108,13.51219512,0.454,6.134536585,328,4,0.287,1.148,17.51219512,7.282536585,0.415855153,0.493,19.2,3.9,5.5,6,27.3,0.44,8.2,2.06,3.525634146,21.27598633,17.67819836,0.448632312
Nando De Colo,San,PG,25,72,12.6,25.9,17.3,0.237,44,0.795,159,2.208333333,0.465,1.026875,82,1.138888889,0.378,0.4305,3.347222222,1.457375,0.43539834,0.53,3.8,1.9,8.8,1.9,22,0.08,7.6,0.57,0.485833333,15.36927296,12.77031541,0.499705394
Nate Robinson,Chi,PG,28,82,25,51.7,25.5,0.126,169,0.799,573,6.987804878,0.45,3.144512195,348,4.243902439,0.405,1.718780488,11.23170732,4.863292683,0.432996743,0.54,13.1,2.2,5.2,4.4,32.2,0.12,8,1.04,1.646719512,21.60320092,17.95008067,0.509511401
Nazr Mohammed,Chi,C,35,63,10.8,22.3,15.1,0.107,47,0.723,178,2.825396825,0.371,1.048222222,2,0.031746032,0,0,2.857142857,1.048222222,0.366877778,0.414,2.6,3.1,16.4,0.4,6,0.49,5.5,0.33,0.539380952,11.80115734,9.80557127,0.366877778
Nenê,Was,C,30,61,27,55.6,23.6,0.163,269,0.729,593,9.721311475,0.481,4.67595082,1,0.016393443,0,0,9.737704918,4.67595082,0.480190236,0.538,12.6,6.7,13.7,2.9,19.2,0.61,9.3,0.9,3.214770492,22.75480942,18.90695117,0.480190236
Nick Collison,Okc,PF,32,81,19.3,39.9,11.6,0.173,78,0.769,292,3.604938272,0.603,2.173777778,4,0.049382716,0,0,3.654320988,2.173777778,0.594851351,0.624,5.1,4.1,12.2,1.5,11.5,0.37,6.5,0.63,0.740518519,16.18377449,13.44708401,0.594851351
Nick Young,Phi,SG,27,59,23.7,49.1,21.4,0.077,128,0.82,333,5.644067797,0.447,2.522898305,210,3.559322034,0.357,1.270677966,9.203389831,3.793576271,0.41219337,0.524,10.6,2.2,5.3,1.4,9.8,0.24,5.4,0.59,1.778983051,14.91257835,12.39084826,0.481226519
Nicolas Batum,Por,SF,24,73,38.3,78.9,18.3,0.17,210,0.848,389,5.328767123,0.481,2.563136986,444,6.082191781,0.372,2.262575342,11.4109589,4.825712329,0.422901561,0.566,14.3,5.6,8.6,4.9,20.4,1.14,7.6,1.25,2.439452055,19.58704884,16.27486169,0.522042017
Nikola Pekovic,Min,C,27,62,31.4,65.2,22.7,0.102,324,0.744,741,11.9516129,0.52,6.21483871,1,0.016129032,0,0,11.96774194,6.21483871,0.519299191,0.571,16.3,8.8,16,0.9,5,0.81,6.4,0.69,3.888,23.18944193,19.26808694,0.519299191
Nikola Vucevic,Orl,C,22,77,33,68.4,19.4,0.13,126,0.683,886,11.50649351,0.52,5.983376623,4,0.051948052,0,0,11.55844156,5.983376623,0.517662921,0.533,13.1,11.9,20.3,1.8,9.3,1.03,7.9,0.79,1.117636364,21.78711527,18.10289495,0.517662921
Norris Cole,Mia,PG,24,80,19.7,40.6,17.1,0.184,80,0.65,327,4.0875,0.44,1.7985,98,1.225,0.357,0.437325,5.3125,2.235825,0.420861176,0.483,5.6,1.6,5.1,2.1,15.4,0.09,5.4,0.71,0.65,11.33088024,9.414818441,0.462021176
O.J. Mayo,Dal,SG,25,82,35.3,72.5,21,0.156,233,0.82,677,8.256097561,0.471,3.888621951,349,4.256097561,0.407,1.732231707,12.51219512,5.620853659,0.449230019,0.556,15.3,3.5,5.5,4.4,19.6,0.28,7,1.13,2.33,18.60212775,15.45649161,0.518451754
Omer Asik,Hou,C,26,82,29.8,61.9,16.4,0.189,299,0.562,612,7.463414634,0.541,4.037707317,1,0.012195122,0,0,7.475609756,4.037707317,0.540117455,0.557,10.1,11.7,22.2,0.9,4.7,1.06,6.4,0.59,2.049243902,20.64846653,17.15679271,0.540117455
Omri Casspi,Cle,SF,24,43,11.5,23.8,18,0.11,41,0.537,84,1.953488372,0.452,0.882976744,76,1.76744186,0.329,0.581488372,3.720930233,1.464465116,0.393575,0.486,4,2.7,13.4,0.7,9,0.28,6.8,0.58,0.512023256,14.7822043,12.28252057,0.4717125
Orlando Johnson,Ind,SG,23,51,11.9,24.6,16.7,0.13,32,0.719,86,1.68627451,0.419,0.70654902,94,1.843137255,0.383,0.705921569,3.529411765,1.412470588,0.4002,0.523,4,2.2,10.1,0.9,12.7,0.18,6.7,0.2,0.451137255,13.04943147,10.84276115,0.500205555
P.J. Tucker,Pho,SG,27,79,24,49.6,12.9,0.122,86,0.744,374,4.734177215,0.503,2.381291139,70,0.886075949,0.314,0.278227848,5.620253165,2.659518987,0.473202703,0.525,6.4,4.4,10.5,1.4,8.7,0.24,5.7,0.78,0.809924051,13.1054624,10.8893172,0.497954955
