NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PAT,2PA,2P%,2PM,3PAT,3PA,3P%,3PM,FGA,FGM,FG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,VI,BPG,FTM,PER_n,PER,eFG%
Jamal Crawford,Lac,SG,32,76,29.1,60.6,26.2,0.115,248,0.871,620,8.157894737,0.477,3.891315789,396,5.210526316,0.376,1.959157895,13.36842105,5.850473684,0.437633858,0.558,16.5,1.7,3.4,2.5,14.5,0.17,5.7,1.04,2.842210526,19.69750084,16.36663616,0.510909449
Jameer Nelson,Orl,PG,30,56,35.1,72.6,22.7,0.157,102,0.873,425,7.589285714,0.435,3.301339286,355,6.339285714,0.341,2.161696429,13.92857143,5.463035714,0.392217949,0.498,14.7,3.7,6,7.4,33.5,0.11,8.4,1.27,1.590107143,19.36454016,16.08997942,0.469817308
James Anderson,Hou,SG,23,29,10.4,21.3,18.5,0.141,19,0.895,52,1.793103448,0.481,0.862482759,49,1.689655172,0.327,0.552517241,3.482758621,1.415,0.406287129,0.526,4,2,10.9,1.1,16.8,0.1,7.9,0.41,0.58637931,15.82376137,13.14794943,0.485608911
James Harden,Hou,SG,23,78,38.1,78.9,29.2,0.149,792,0.851,851,10.91025641,0.477,5.204192308,486,6.230769231,0.368,2.292923077,17.14102564,7.497115385,0.437378459,0.6,25.9,4.9,7.3,5.8,25.8,0.49,9.5,1.82,8.640923077,29.74549506,24.71550573,0.504262528
James Johnson,Sac,SF,25,54,16.1,33.1,19.5,0.179,67,0.597,262,4.851851852,0.439,2.129962963,21,0.388888889,0.095,0.036944444,5.240740741,2.166907407,0.413473498,0.442,5.1,2.7,9.5,1.1,10.4,0.93,6.1,0.76,0.740722222,14.62433831,12.15134986,0.416998233
Jan Vesely,Was,PF,22,51,11.6,23.8,12.2,0.171,39,0.308,113,2.215686275,0.504,1.116705882,1,0.019607843,0,0,2.235294118,1.116705882,0.499578947,0.48,2.5,2.4,11.5,0.5,7.4,0.31,5,0.29,0.235529412,9.994490538,8.304413413,0.499578947
Jannero Pargo,Was,PG,33,7,14.3,27.1,18.6,0.196,2,1,12,1.714285714,0.417,0.714857143,20,2.857142857,0.15,0.428571429,4.571428571,1.143428571,0.250125,0.319,3,0.9,3.3,2,21.4,0.14,4.9,0,0.285714286,4.235821636,3.519540478,0.297
Jannero Pargo,Atl,PG,33,7,16,30.1,18.2,0.114,2,1,18,2.571428571,0.333,0.856285714,20,2.857142857,0.35,1,5.428571429,1.856285714,0.341947368,0.45,5,1,3.6,2.7,25.7,0,6,0.43,0.285714286,11.37124048,9.448353728,0.434052631
Jannero Pargo,Cha,PG,33,18,16.1,32.6,27.3,0.161,9,0.889,66,3.666666667,0.424,1.554666667,76,4.222222222,0.382,1.612888889,7.888888889,3.167555556,0.401521127,0.517,8.4,1.2,4.3,1.9,22.7,0.11,6.6,0.83,0.4445,17.771491,14.76631627,0.503746479
Jared Dudley,Pho,SG,27,79,27.3,56.5,17.4,0.12,162,0.796,398,5.037974684,0.52,2.619746835,271,3.430379747,0.391,1.341278481,8.46835443,3.961025316,0.467744395,0.582,10.9,3.1,6.5,2.6,15,0.1,6.5,0.95,1.632303797,17.14848231,14.24865889,0.546937967
Jared Sullinger,Bos,PF,20,45,19.6,39.5,15.1,0.103,63,0.746,220,4.888888889,0.5,2.444444444,5,0.111111111,0.2,0.022222222,5,2.466666667,0.493333333,0.534,6,5.9,17.7,0.8,6.3,0.49,6.2,0.49,1.0444,16.6383184,13.82476415,0.495555556
Jarrett Jack,Gol,PG,29,79,29.2,60.5,21.4,0.142,198,0.843,654,8.278481013,0.466,3.857772152,204,2.582278481,0.402,1.038075949,10.86075949,4.895848101,0.450783217,0.541,12.9,3.1,5.8,5.5,30.3,0.13,8.3,0.76,2.112835443,20.3330793,16.89473774,0.498573427
Jason Collins,Bos,C,34,32,10.2,20.1,7.6,0.307,30,0.7,23,0.71875,0.348,0.250125,0,0,0,0,0.71875,0.250125,0.348,0.511,1.2,1.6,9.5,0.2,2.5,0.19,2.9,0.31,0.65625,5.500658494,4.570492313,0.348
Jason Kidd,Nyk,PG,39,76,26.7,55.4,11.7,0.15,48,0.833,84,1.105263158,0.452,0.499578947,324,4.263157895,0.352,1.500631579,5.368421053,2.000210526,0.372588235,0.534,6,4.3,9.3,3.3,17.9,0.32,6.6,1.64,0.526105263,14.87876488,12.36275267,0.512352941
Jason Maxiell,Det,PF,29,72,24.7,51,15.4,0.135,145,0.621,457,6.347222222,0.446,2.830861111,0,0,0,0,6.347222222,2.830861111,0.446,0.478,6.9,5.7,13.3,0.8,4.8,1.32,5.1,0.44,1.250625,14.45827268,12.01336607,0.446
Jason Richardson,Phi,SG,32,33,28.2,58.1,18.7,0.069,33,0.606,169,5.121212121,0.462,2.366,167,5.060606061,0.341,1.725666667,10.18181818,4.091666667,0.401860119,0.495,10.5,3.8,7.7,1.5,8.7,0.45,5.5,1.21,0.606,14.043917,11.6690783,0.486602679
Jason Smith,Nor,C,26,51,17,35.1,23.7,0.125,102,0.843,337,6.607843137,0.496,3.277490196,4,0.078431373,0,0,6.68627451,3.277490196,0.490181818,0.544,8.2,3.6,12.8,0.7,7.1,0.88,6.5,0.29,1.686,20.54217176,17.06847248,0.490181818
Jason Terry,Bos,SG,35,79,26.7,54.4,18.1,0.126,131,0.87,317,4.012658228,0.498,1.998303797,331,4.189873418,0.372,1.558632911,8.202531646,3.556936709,0.433638889,0.566,10.1,2,4.5,2.5,15.2,0.14,5.5,0.84,1.442658228,15.12342863,12.56604357,0.528648148
Jason Thompson,Sac,PF,26,82,27.7,57.2,18.3,0.108,206,0.694,742,9.048780488,0.504,4.560585366,3,0.036585366,0,0,9.085365854,4.560585366,0.50197047,0.533,10.9,6.7,13.7,1,6,0.74,6,0.59,1.743463415,17.81714476,14.80424993,0.50197047
JaVale McGee,Den,C,25,79,18,37.1,21.3,0.129,186,0.591,525,6.64556962,0.573,3.807911392,1,0.012658228,1,0.012658228,6.658227848,3.82056962,0.573811787,0.588,9.1,4.8,15,0.3,2.8,1.97,5.2,0.38,1.391468354,25.95034667,21.56212027,0.574762357
Jeff Adrien,Cha,SF,26,52,13.5,27.9,15.8,0.131,100,0.65,166,3.192307692,0.434,1.385461538,2,0.038461538,0,0,3.230769231,1.385461538,0.428833333,0.493,4,3.8,16,0.7,8.4,0.52,6.5,0.35,1.25,15.38942462,12.7870594,0.428833333
Jeff Green,Bos,SF,26,81,27.6,56.4,22.3,0.125,265,0.808,624,7.703703704,0.49,3.774814815,182,2.24691358,0.385,0.865061728,9.950617284,4.639876543,0.466290323,0.561,12.8,3.9,8.4,1.6,9.7,0.84,6.2,0.69,2.64345679,19.07403441,15.84859845,0.509758064
Jeff Taylor,Cha,SF,23,77,19.4,40.1,15,0.097,103,0.728,245,3.181818182,0.486,1.546363636,154,2,0.344,0.688,5.181818182,2.234363636,0.431192982,0.531,6.1,1.9,5.8,0.8,7.1,0.19,4.3,0.61,0.973818182,11.27278973,9.366551089,0.497578947
Jeff Teague,Atl,PG,24,80,32.7,67.4,23.1,0.176,226,0.881,726,9.075,0.482,4.37415,248,3.1,0.359,1.1129,12.175,5.48705,0.450681725,0.543,14.6,2.3,3.9,7.2,36.4,0.35,7.6,1.46,2.488825,21.98593107,18.26809082,0.496386037
Jeremy Lin,Hou,PG,24,82,32,66.3,20.9,0.188,275,0.785,640,7.804878049,0.483,3.769756098,257,3.134146341,0.339,1.06247561,10.93902439,4.832231707,0.441742475,0.538,13.4,3,5.3,6.1,29.6,0.35,7.8,1.61,2.632621951,20.79308434,17.27695552,0.49030602
Jeremy Pargo,Cle,PG,26,25,17.7,36.5,24.4,0.153,41,0.683,130,5.2,0.438,2.2776,57,2.28,0.316,0.72048,7.48,2.99808,0.400812834,0.478,7.8,1.3,4.2,2.6,24.6,0.08,6.7,0.48,1.12012,15.15758341,12.59442275,0.448973262
Jeremy Pargo,Phi,PG,26,14,14.6,29.8,19.2,0.153,21,0.667,46,3.285714286,0.37,1.215714286,17,1.214285714,0.412,0.500285714,4.5,1.716,0.381333333,0.478,4.9,1.2,4.7,2,20.8,0,6.2,0.07,1.0005,11.26981181,9.364076742,0.436920635
Jermaine O’Neal,Pho,C,34,55,18.5,38.2,21.6,0.148,115,0.835,371,6.745454545,0.482,3.251309091,0,0,0,0,6.745454545,3.251309091,0.482,0.538,8.3,5.3,16.4,0.8,6.9,1.42,7.1,0.35,1.745909091,22.65548699,18.82442425,0.482
Jerry Stackhouse,Bro,SF,38,37,14.5,29.6,17.7,0.116,23,0.87,83,2.243243243,0.434,0.973567568,89,2.405405405,0.337,0.810621622,4.648648649,1.784189189,0.38380814,0.5,4.9,0.9,3.6,0.9,10.6,0.11,4.4,0.19,0.540810811,9.32813279,7.750737346,0.470997093
Jerryd Bayless,Mem,PG,24,80,21.9,45.3,20.9,0.151,122,0.836,419,5.2375,0.451,2.3621125,201,2.5125,0.353,0.8869125,7.75,3.249025,0.419229032,0.514,8.7,2.2,5.9,3.3,25.1,0.23,7.3,0.74,1.2749,17.04637151,14.16381512,0.476449194
Jimmer Fredette,Sac,PG,23,69,13.8,28.5,24.4,0.13,99,0.859,255,3.695652174,0.42,1.552173913,156,2.260869565,0.417,0.942782609,5.956521739,2.494956522,0.418861314,0.543,7.2,1,4.2,1.3,16.3,0.04,6.1,0.45,1.232478261,16.876207,14.02242558,0.498
Jimmy Butler,Chi,SF,23,82,25.8,53.3,14.7,0.092,233,0.803,407,4.963414634,0.489,2.427109756,105,1.280487805,0.381,0.487865854,6.243902439,2.91497561,0.466851563,0.574,8.6,4,8.9,1.4,8.8,0.38,5.6,0.95,2.281695122,15.55691993,12.92623111,0.505918945
Joakim Noah,Chi,C,27,66,36.3,74.9,17.4,0.193,237,0.751,625,9.46969697,0.485,4.59280303,5,0.075757576,0,0,9.545454545,4.59280303,0.481150794,0.534,11.9,11.1,17.6,4,17.9,2.14,8.9,1.18,2.696772727,22.69610757,18.85817585,0.481150794
