2014-2015 NBA REGULAR SEASON ADVANCED STATS,,,,,,,,,,,,,,,,,,,,,,
Rank,Team,Conference,Division,GP,PPG,OPPG,PDIF,PACE,OEFF,DEFF,EDIF,SoS,RSoS,SAR,CONS,A4F,WIN,LOSS,WIN%,pWIN%,eWIN%,ACH
,ALLAtlantaBostonBrooklynCharlotteChicagoClevelandDallasDenverDetroitEast AverageGolden StateHoustonIndianaLA ClippersLA LakersMemphisMiamiMilwaukeeMinnesotaNBA AverageNew OrleansNew YorkOklahoma CityOrlandoPhiladelphiaPhoenixPortlandSacramentoSan AntonioTorontoUtahWashingtonWest Average,ALLEastWest,ALLAtlanticCentralNorthwestPacificSoutheastSouthwest,,,,,,,,,,,,,,,,,,,
,East Average,,,82,98,99.1,-1.1,93.2,104.3,105.4,-1.1,-0.1,0,-1.2,13.7,-0.008,38.5,43.5,0.47,,,
,West Average,,,82,102,100.9,1.1,94.6,107,105.9,1.1,0.2,0,1.3,13.2,0.008,43.5,38.5,0.53,,,
,NBA Average,,,82,100,100,0,93.9,105.7,105.7,0,0,0,0,13.5,0,41,41,0.5,,,
,Atlanta,East,Southeast,82,102.5,97.1,5.4,93.9,108.9,103.1,5.8,-1.2,0,4.6,12.9,0.027,60,22,0.732,0.678,0.674,0.058
,Boston,East,Atlantic,82,101.4,101.2,0.2,95.8,104.7,104.5,0.2,-0.93,0,-0.73,11.7,-0.02,40,42,0.488,0.507,0.507,-0.019
,Brooklyn,East,Atlantic,82,98,100.9,-2.9,92.8,104.4,107.4,-3,0.15,0,-2.85,16.1,-0.028,38,44,0.463,0.405,0.426,0.037
,Charlotte,East,Southeast,82,94.2,97.3,-3.1,93,100.1,103.5,-3.4,0.04,0,-3.36,15.9,-0.061,33,49,0.402,0.398,0.415,-0.013
,Chicago,East,Central,82,100.8,97.8,3,92.7,107.6,104.4,3.2,-0.09,0,3.11,13.1,0.047,50,32,0.61,0.599,0.596,0.014
,Cleveland,East,Central,82,103.1,98.7,4.4,92.3,111.2,106.3,4.9,-0.22,0,4.68,16.5,0.039,53,29,0.646,0.645,0.616,0.03
,Dallas,West,Southwest,82,105.2,102.3,2.9,95.2,109.5,106.4,3.1,0.05,0,3.15,16.1,-0.028,50,32,0.61,0.595,0.576,0.034
,Denver,West,Northwest,82,101.5,105,-3.5,96.1,104.5,108.2,-3.7,0.58,0,-3.12,15.3,-0.036,30,52,0.366,0.385,0.405,-0.039
,Detroit,East,Central,82,98.5,99.5,-1,92.8,105.4,106.4,-1,0.2,0,-0.8,12.4,-0.038,32,50,0.39,0.467,0.468,-0.078
,Golden State,West,Pacific,82,110,99.9,10.1,98.3,111.6,101.3,10.3,-1.51,0,8.79,12.8,0.094,67,15,0.817,0.833,0.79,0.027
,Houston,West,Southwest,82,103.9,100.5,3.4,96.6,106.9,103.4,3.5,0.51,0,4.01,13.2,0.046,56,26,0.683,0.612,0.605,0.078
,Indiana,East,Central,82,97.3,97,0.3,93.2,103.6,103.3,0.3,-0.31,0,-0.01,12.7,0.029,38,44,0.463,0.51,0.509,-0.046
,LA Clippers,West,Pacific,82,106.7,100.1,6.6,94.7,112.4,105.5,6.9,-0.34,0,6.56,15.2,0.037,56,26,0.683,0.717,0.675,0.008
,LA Lakers,West,Pacific,82,98.5,105.3,-6.8,94,103.5,110.7,-7.2,1.11,0,-6.09,10.7,-0.065,21,61,0.256,0.276,0.251,0.005
,Memphis,West,Southwest,82,98.3,95.1,3.2,92,105.7,102.2,3.5,0.38,0,3.88,11.8,-0.026,55,27,0.671,0.605,0.617,0.054
,Miami,East,Southeast,82,94.7,97.3,-2.6,90.9,103.9,106.8,-2.9,0.41,0,-2.49,13.9,-0.016,37,45,0.451,0.414,0.418,0.033
,Milwaukee,East,Central,82,97.9,97.4,0.5,94,102.7,102.3,0.4,-0.17,0,0.23,12.8,0.013,41,41,0.5,0.516,0.512,-0.012
,Minnesota,West,Northwest,82,97.8,106.5,-8.7,94.4,102.9,112.2,-9.3,2.1,0,-7.2,12,-0.116,16,66,0.195,0.214,0.219,-0.024
,New Orleans,West,Southwest,82,99.4,98.6,0.8,91.3,108.2,107.4,0.8,-0.41,0,0.39,14.5,0.021,45,37,0.549,0.526,0.522,0.027
,New York,East,Atlantic,82,91.9,101.2,-9.3,91.2,99.9,110,-10.1,0.67,0,-9.43,12.3,-0.064,17,65,0.207,0.194,0.205,0.002
,Oklahoma City,West,Northwest,82,104,101.8,2.2,95.7,107.8,105.5,2.3,0.21,0,2.51,13.2,0.024,45,37,0.549,0.572,0.569,-0.02
,Orlando,East,Southeast,82,95.7,101.4,-5.7,93.8,101.6,107.7,-6.1,0.08,0,-6.02,11.5,-0.027,25,57,0.305,0.312,0.297,0.008
,Philadelphia,East,Atlantic,82,92,101,-9,95.7,95.5,104.8,-9.3,1.26,0,-8.04,13.8,-0.055,18,64,0.22,0.204,0.25,-0.03
,Phoenix,West,Pacific,82,102.4,103.3,-0.9,96.3,105.3,106.2,-0.9,0.01,0,-0.89,12.5,-0.005,39,43,0.476,0.47,0.471,0.005
,Portland,West,Northwest,82,102.8,98.6,4.2,94.2,108.2,103.7,4.5,-1.03,0,3.47,11.5,0.064,51,31,0.622,0.638,0.653,-0.031
,Sacramento,West,Pacific,82,101.3,105,-3.7,95.3,105.4,109.2,-3.8,0.82,0,-2.98,13.3,0.015,29,53,0.354,0.378,0.388,-0.034
,San Antonio,West,Southwest,82,103.2,97,6.2,93.8,108.5,102,6.5,-0.07,0,6.43,12.3,0.055,55,27,0.671,0.704,0.701,-0.03
,Toronto,East,Atlantic,82,104,100.9,3.1,92.8,111.1,107.8,3.3,-0.42,0,2.88,13.8,-0.014,49,33,0.598,0.602,0.595,0.003
,Utah,West,Northwest,82,95.1,94.9,0.2,90.4,105.1,104.9,0.2,0.59,0,0.79,14.2,0.039,38,44,0.463,0.507,0.506,-0.043
,Washington,East,Southeast,82,98.5,97.8,0.7,93.7,103.7,102.9,0.8,-1.01,0,-0.21,15.7,0.05,46,36,0.561,0.523,0.52,0.041
