NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PAT,2PA,2P%,2PM,3PAT,3PA,3P%,3PM,FGA,FGM,FG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI,FTM,PER_n,PER,eFG%,,,,,,,,,,,,,,,,,,,,
Paul George,Ind,SF,24,6,15.2,31.6,33.2,0.182,11,0.727,27,4.5,0.333,1.4985,22,3.666666667,0.409,1.499666667,8.166666667,2.998166667,0.367122449,0.492,8.8,3.7,13.4,1,11.8,0.83,0.17,8.4,1.332833333,20.99924979,17.00390007,0.458938776,,,,,,,,,,,,,,,,,,,,
Paul Millsap,Atl,PF,29,73,32.7,68.2,24.2,0.133,337,0.757,714,9.780821918,0.513,5.017561644,216,2.95890411,0.356,1.053369863,12.73972603,6.070931507,0.476535484,0.565,16.7,7.8,13.6,3.1,15.4,1.78,0.95,9,3.494643836,25.59707334,20.7269346,0.517877419,,,,,,,,,,,,,,,,,,,,
Paul Pierce,Was,SF,37,73,26.2,54.6,20.2,0.109,210,0.781,353,4.835616438,0.496,2.398465753,303,4.150684932,0.389,1.614616438,8.98630137,4.013082192,0.446577744,0.58,11.9,4,8.7,2,11.9,0.63,0.33,7,2.246712329,18.96466726,15.35642035,0.536415396,,,,,,,,,,,,,,,,,,,,
Pero Antic,Atl,PF,32,63,16.5,34.3,17.9,0.123,123,0.715,123,1.952380952,0.455,0.888333333,173,2.746031746,0.301,0.826555556,4.698412698,1.714888889,0.364993243,0.508,5.7,3,10.4,0.8,6.9,0.29,0.24,5.8,1.395952381,12.84722528,10.40289234,0.452954392,,,,,,,,,,,,,,,,,,,,
Perry Jones,Okc,SF,23,43,14.7,30.6,15.5,0.107,37,0.649,124,2.88372093,0.476,1.372651163,60,1.395348837,0.233,0.325116279,4.279069767,1.697767442,0.39676087,0.459,4.3,1.8,6.5,0.4,4.1,0.4,0.19,4,0.55844186,8.74197046,7.07870965,0.43475,,,,,,,,,,,,,,,,,,,,
Phil Pressey,Bos,PG,23,50,12,25,17.5,0.173,49,0.673,109,2.18,0.44,0.9592,65,1.3,0.246,0.3198,3.48,1.279,0.367528736,0.453,3.5,1.6,7.3,2.3,28,0.6,0.12,7.8,0.65954,15.18028556,12.29206097,0.413477011,,,,,,,,,,,,,,,,,,,,
PJ Hairston,Cha,SG,22,45,15.3,31.8,20.7,0.072,36,0.861,106,2.355555556,0.358,0.843288889,163,3.622222222,0.301,1.090288889,5.977777778,1.933577778,0.323460967,0.446,5.6,2,7.4,0.5,5,0.47,0.29,4.6,0.6888,10.25918593,8.307257356,0.414656134,,,,,,,,,,,,,,,,,,,,
PJ Tucker,Pho,SF,29,78,30.6,63.7,14.2,0.127,143,0.727,344,4.41025641,0.506,2.231589744,252,3.230769231,0.345,1.114615385,7.641025641,3.346205128,0.437926174,0.541,9.1,6.4,11.5,1.6,7.4,1.37,0.29,5.9,1.332833333,15.63022621,12.65639521,0.510862416,,,,,,,,,,,,,,,,,,,,
Quincy Acy,Nyk,PF,24,68,18.9,39.4,15.7,0.138,97,0.784,271,3.985294118,0.494,1.968735294,60,0.882352941,0.3,0.264705882,4.867647059,2.233441176,0.458833837,0.533,5.9,4.4,13.5,1,8.7,0.4,0.32,6.3,1.118352941,14.85571088,12.02924037,0.486024169,,,,,,,,,,,,,,,,,,,,
Quincy Miller,Sac,PF,22,6,10.2,21.3,18.8,0.116,11,0.727,11,1.833333333,0.273,0.5005,7,1.166666667,0.143,0.166833333,3,0.667333333,0.222444444,0.372,2.8,2,11.1,0.5,7,1,0.5,5.5,1.332833333,12.4472101,10.07898467,0.25025,,,,,,,,,,,,,,,,,,,,
Quincy Miller,Det,PF,22,4,14.6,30.4,17,0.091,0,0,9,2.25,0.333,0.74925,11,2.75,0.182,0.5005,5,1.24975,0.24995,0.3,3,2,7.5,1.3,12.6,0.25,0.5,5.4,0,5.042164496,4.082834487,0.3,,,,,,,,,,,,,,,,,,,,
Quincy Pondexter,Mem,SF,26,30,18,37.5,13.6,0.063,30,0.7,62,2.066666667,0.5,1.033333333,73,2.433333333,0.233,0.566966667,4.5,1.6003,0.355622222,0.452,4.5,1.9,6.1,0.9,7.5,0.17,0.17,4.4,0.7,7.415643694,6.004731864,0.418618519,,,,,,,,,,,,,,,,,,,,
Quincy Pondexter,Nor,SF,26,45,27.8,58,14.2,0.107,66,0.758,141,3.133333333,0.468,1.4664,171,3.8,0.433,1.6454,6.933333333,3.1118,0.448817308,0.592,9,3.1,6.3,1.4,7.7,0.31,0.42,4.9,1.111733333,13.06236872,10.57710226,0.567475962,,,,,,,,,,,,,,,,,,,,
Rajon Rondo,Bos,PG,28,22,31.8,66.2,18.4,0.258,36,0.333,168,7.636363636,0.435,3.321818182,32,1.454545455,0.25,0.363636364,9.090909091,3.685454545,0.4054,0.422,8.3,7.5,12.9,10.8,49.3,1.68,0.14,11,0.544909091,23.00809075,18.63053584,0.4254,,,,,,,,,,,,,,,,,,,,
Rajon Rondo,Dal,PG,28,46,28.7,59.8,20.6,0.226,42,0.452,391,8.5,0.448,3.808,54,1.173913043,0.352,0.413217391,9.673913043,4.221217391,0.436350562,0.46,9.3,4.5,8.6,6.5,34,1.17,0.09,9,0.412695652,18.73838866,15.17319387,0.457707865,,,,,,,,,,,,,,,,,,,,
Ramon Sessions,Sac,PG,28,36,17.8,37.2,19,0.187,88,0.727,155,4.305555556,0.368,1.584444444,28,0.777777778,0.214,0.166444444,5.083333333,1.750888889,0.344437158,0.442,5.4,1.9,6.1,2.7,22.6,0.36,0,6.8,1.777111111,12.2812157,9.944572624,0.360808743,,,,,,,,,,,,,,,,,,,,
Ramon Sessions,Was,PG,28,28,19.5,40.6,18.9,0.157,85,0.812,119,4.25,0.412,1.751,32,1.142857143,0.406,0.464,5.392857143,2.215,0.410728477,0.547,7.4,2.7,7.7,3.1,23.4,0.57,0,8.1,2.465,18.3351181,14.84665019,0.453748344,,,,,,,,,,,,,,,,,,,,
Randy Foye,Den,SG,31,50,21.7,45.3,19.6,0.123,55,0.818,139,2.78,0.388,1.07864,263,5.26,0.357,1.87782,8.04,2.95646,0.367718905,0.51,8.7,1.7,4.2,2.4,17,0.68,0.22,6.1,0.8998,14.80225826,11.98595773,0.484498756,,,,,,,,,,,,,,,,,,,,
Rasual Butler,Was,SF,35,75,20.1,41.8,18.2,0.081,67,0.791,282,3.76,0.45,1.692,235,3.133333333,0.387,1.2126,6.893333333,2.9046,0.421363636,0.531,7.7,2.6,7.4,0.8,6.5,0.4,0.29,5,0.706626667,13.35913271,10.81740347,0.509318182,,,,,,,,,,,,,,,,,,,,
Ray McCallum,Sac,PG,23,68,21.1,44,18.5,0.144,84,0.679,359,5.279411765,0.479,2.528838235,111,1.632352941,0.306,0.4995,6.911764706,3.028338235,0.438142553,0.496,7.4,2.6,7.1,2.8,21.3,0.66,0.16,7.2,0.838764706,15.50834442,12.55770284,0.474276596,,,,,,,,,,,,,,,,,,,,
Raymond Felton,Dal,PG,30,29,9.7,20.2,21,0.138,15,0.8,72,2.482758621,0.458,1.137103448,34,1.172413793,0.294,0.344689655,3.655172414,1.481793103,0.405396226,0.48,3.7,0.9,5.1,1.4,22.4,0.38,0.14,6.9,0.413793103,14.08216042,11.40286682,0.45254717,,,,,,,,,,,,,,,,,,,,
Reggie Bullock,Lac,SF,23,25,10.5,21.9,10.8,0.096,5,0.8,15,0.6,0.533,0.3198,39,1.56,0.385,0.6006,2.16,0.9204,0.426111111,0.578,2.6,1.6,8.6,0.2,3.1,0.36,0.08,3.6,0.16,9.236209183,7.478913749,0.565138889,,,,,,,,,,,,,,,,,,,,
Reggie Bullock,Pho,SF,23,11,6.8,14.3,11.7,0.101,4,0.5,9,0.818181818,0.111,0.090818182,7,0.636363636,0,0,1.454545455,0.090818182,0.0624375,0.113,0.4,0.9,7.3,0.2,3.4,0.09,0.18,2.4,0.181818182,-5.859596301,-4.744740453,0.0624375,,,,,,,,,,,,,,,,,,,,
Reggie Evans,Sac,PF,34,47,16.3,33.9,13.2,0.2,97,0.619,135,2.872340426,0.43,1.235106383,2,0.042553191,0,0,2.914893617,1.235106383,0.423722628,0.49,3.7,6.4,22.2,0.7,6.1,0.47,0.11,6.3,1.277510638,15.13602846,12.25622429,0.423722628,,,,,,,,,,,,,,,,,,,,
Reggie Jackson,Okc,PG,24,50,28,58.2,22.4,0.127,115,0.861,418,8.36,0.49,4.0964,158,3.16,0.278,0.87848,11.52,4.97488,0.431847222,0.511,12.8,4,7.7,4.2,24.3,0.84,0.1,8.6,1.9803,19.72904741,15.97536836,0.469975694,,,,,,,,,,,,,,,,,,,,
Reggie Jackson,Det,PG,24,27,32.2,67.2,28.9,0.17,103,0.796,337,12.48148148,0.46,5.741481481,83,3.074074074,0.337,1.035962963,15.55555556,6.777444444,0.435692857,0.511,17.6,4.7,7.9,9.2,51.2,0.74,0.15,11.3,3.036592593,26.52705138,21.47997359,0.468991667,,,,,,,,,,,,,,,,,,,,
Reggie Williams,San,SF,28,20,5.3,10.9,18.8,0.047,4,1,20,1,0.6,0.6,19,0.95,0.158,0.1501,1.95,0.7501,0.384666667,0.454,1.9,0.9,9.2,0.5,14.4,0.05,0,7.2,0.2,7.444942795,6.028456472,0.423153846,,,,,,,,,,,,,,,,,,,,
Richard Jefferson,Dal,SF,34,74,16.8,35,15.5,0.122,114,0.684,169,2.283783784,0.462,1.055108108,155,2.094594595,0.426,0.892297297,4.378378378,1.947405405,0.444777778,0.577,5.8,2.5,8.1,0.8,7,0.43,0.15,5.4,1.05372973,13.98897679,11.32741245,0.546675926,,,,,,,,,,,,,,,,,,,,
Ricky Ledo,Nyk,SG,22,12,19.4,40.5,24.6,0.195,20,0.75,66,5.5,0.333,1.8315,24,2,0.417,0.834,7.5,2.6655,0.3554,0.45,7.4,2.8,8.4,1.5,13.1,0.5,0.08,6.5,1.25,12.49835703,10.12040031,0.411,,,,,,,,,,,,,,,,,,,,
Ricky Rubio,Min,PG,24,22,31.5,65.5,20.3,0.204,71,0.803,168,7.636363636,0.387,2.955272727,51,2.318181818,0.255,0.591136364,9.954545455,3.546409091,0.356260274,0.452,10.3,5.7,10.3,8.8,43.5,1.82,0.05,10.2,2.5915,21.9458521,17.77040036,0.385952055,,,,,,,,,,,,,,,,,,,,
Robbie Hummel,Min,SF,25,45,16.5,34.3,12.2,0.089,29,0.828,121,2.688888889,0.521,1.400911111,51,1.133333333,0.314,0.355866667,3.822222222,1.756777778,0.459622093,0.536,4.4,3,10.3,0.6,5.6,0.36,0.2,4.8,0.5336,11.55526698,9.356744023,0.506174419,,,,,,,,,,,,,,,,,,,,
Robert Covington,Phi,SF,24,70,27.9,58.2,22.2,0.131,217,0.82,310,4.428571429,0.426,1.886571429,446,6.371428571,0.374,2.382914286,10.8,4.269485714,0.395322751,0.554,13.5,4.5,8.8,1.5,9.8,1.39,0.44,6.5,2.542,19.78476122,16.02048197,0.505642857,,,,,,,,,,,,,,,,,,,,
Robert Sacre,Lal,C,25,67,16.9,35.2,15,0.095,82,0.671,305,4.552238806,0.413,1.880074627,1,0.014925373,0,0,4.567164179,1.880074627,0.411650327,0.449,4.6,3.5,11.3,0.8,7.4,0.42,0.64,5.5,0.821223881,12.1312063,9.823104238,0.411650327,,,,,,,,,,,,,,,,,,,,
Robin Lopez,Por,C,26,59,27.8,57.8,15.6,0.129,127,0.772,436,7.389830508,0.537,3.968338983,1,0.016949153,0,0,7.406779661,3.968338983,0.535771167,0.574,9.6,6.7,12.9,0.9,5.1,0.27,1.42,5.6,1.661762712,17.64730603,14.28970231,0.535771167,,,,,,,,,,,,,,,,,,,,
Rodney Hood,Uta,SG,22,50,21.3,44.4,19.9,0.099,80,0.763,204,4.08,0.456,1.86048,170,3.4,0.365,1.241,7.48,3.10148,0.414636364,0.529,8.7,2.3,6.4,1.7,13.2,0.6,0.24,6.1,1.2208,15.28087369,12.37351104,0.497590909,,,,,,,,,,,,,,,,,,,,
Rodney Stuckey,Ind,PG,28,71,26.4,55,23.6,0.122,216,0.819,613,8.633802817,0.452,3.902478873,141,1.985915493,0.39,0.774507042,10.61971831,4.676985915,0.440405836,0.528,12.6,3.5,7.3,3.1,20.2,0.79,0.14,7.8,2.491605634,19.45884153,15.75657227,0.476871353,,,,,,,,,,,,,,,,,,,,
Ronnie Price,Lal,PG,31,43,22.8,47.6,13.5,0.176,45,0.8,114,2.651162791,0.404,1.071069767,109,2.534883721,0.284,0.719906977,5.186046512,1.790976744,0.345345291,0.455,5.1,1.6,3.9,3.8,24.4,1.56,0.09,5.5,0.837209302,13.71320475,11.10410922,0.414753363,,,,,,,,,,,,,,,,,,,,
Ronny Turiaf,Min,C,32,2,9.7,20.2,0,,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,,0,0.5,3,1,13.7,0,0,0,0,0,0,#DIV/0!,,,,,,,,,,,,,,,,,,,,
Roy Hibbert,Ind,C,28,76,25.3,52.8,21.6,0.118,204,0.824,708,9.315789474,0.448,4.173473684,2,0.026315789,0,0,9.342105263,4.173473684,0.446738028,0.501,10.6,7.1,15.5,1.1,7.4,0.24,1.64,6.9,2.211789474,19.36077564,15.67716455,0.446738028,,,,,,,,,,,,,,,,,,,,
Rudy Gay,Sac,SF,28,68,35.4,73.8,27.4,0.124,393,0.858,896,13.17647059,0.479,6.311529412,220,3.235294118,0.359,1.161470588,16.41176471,7.473,0.455344086,0.556,21.1,5.9,9.4,3.7,19,1.04,0.6,8.7,4.958735294,24.66510093,19.97228071,0.490729391,,,,,,,,,,,,,,,,,,,,
Rudy Gobert,Uta,C,22,82,26.3,54.8,14.2,0.169,273,0.623,425,5.182926829,0.607,3.146036585,2,0.024390244,0,0,5.207317073,3.146036585,0.604156909,0.627,8.4,9.5,20.8,1.3,8.1,0.78,2.29,7.1,2.074134146,23.45025643,18.98857439,0.604156909,,,,,,,,,,,,,,,,,,,,
Russ Smith,Mem,PG,23,6,6,12.5,33.3,0.194,13,0.923,10,1.666666667,0.5,0.833333333,5,0.833333333,0.2,0.166666667,2.5,1,0.4,0.603,4.2,0.5,4.8,1,27.3,0.5,0,8.5,1.999833333,27.29759001,22.10390835,0.433333333,,,,,,,,,,,,,,,,,,,,
Russell Westbrook,Okc,PG,26,67,34.4,71.6,38.9,0.143,654,0.835,1183,17.65671642,0.457,8.069119403,288,4.298507463,0.299,1.285253731,21.95522388,9.354373134,0.426065942,0.536,28.1,7.3,11.4,8.6,47.1,2.09,0.21,14.1,8.150597015,37.04926033,30.0002108,0.455335826,,,,,,,,,,,,,,,,,,,,
Ryan Anderson,Nor,PF,26,61,27.5,57.2,23.8,0.072,151,0.854,370,6.06557377,0.457,2.771967213,359,5.885245902,0.34,2.000983607,11.95081967,4.77295082,0.399382716,0.524,13.7,4.9,10,0.9,5.4,0.54,0.33,5.7,2.114,17.1588608,13.89418943,0.483100137,,,,,,,,,,,,,,,,,,,,
Ryan Hollins,Sac,C,30,46,9.6,20,13.3,0.191,54,0.574,82,1.782608696,0.646,1.151565217,0,0,0,0,1.782608696,1.151565217,0.646,0.648,3,2.2,13.2,0.3,5,0.13,0.41,5.2,0.673826087,14.87448364,12.0444414,0.646,,,,,,,,,,,,,,,,,,,,
Ryan Kelly,Lal,PF,23,52,23.7,49.4,14.2,0.095,95,0.832,175,3.365384615,0.337,1.134134615,134,2.576923077,0.336,0.865846154,5.942307692,1.999980769,0.336566343,0.473,6.4,2.8,6.5,1.8,10.9,0.56,0.46,5.4,1.52,11.18036421,9.053170835,0.409420712,,,,,,,,,,,,,,,,,,,,
Samuel Dalembert,Nyk,C,33,32,17,35.4,15.3,0.219,20,0.7,130,4.0625,0.438,1.779375,0,0,0,0,4.0625,1.779375,0.438,0.461,4,5.3,17.8,0.9,8.6,0.44,1.28,6.3,0.4375,15.81887888,12.80915453,0.438,,,,,,,,,,,,,,,,,,,,
Sean Kilpatrick,Min,SG,25,4,17.9,37.2,14.8,0.084,4,1,7,1.75,0.429,0.75075,13,3.25,0.308,1.001,5,1.75175,0.35035,0.506,5.5,1.5,4.8,1,8.5,0.75,0,4.5,1,10.86537485,8.798111837,0.45045,,,,,,,,,,,,,,,,,,,,
Sebastian Telfair,Okc,PG,29,16,20.4,42.6,21.1,0.114,34,0.706,65,4.0625,0.431,1.7509375,60,3.75,0.3,1.125,7.8125,2.8759375,0.36812,0.479,8.4,1.9,4.9,2.8,20.8,0.63,0,7,1.50025,15.09573671,12.22359851,0.44012,,,,,,,,,,,,,,,,,,,,
Serge Ibaka,Okc,PF,25,64,33.1,68.9,19.2,0.104,110,0.836,581,9.078125,0.511,4.638921875,205,3.203125,0.376,1.204375,12.28125,5.843296875,0.475790076,0.549,14.3,7.8,12.6,0.9,4.2,0.47,2.42,5.6,1.436875,20.08608226,16.26447321,0.524823155,,,,,,,,,,,,,,,,,,,,
Sergey Karasev,Bro,SG,21,33,16.8,35.1,14.6,0.137,38,0.763,80,2.424242424,0.475,1.151515152,54,1.636363636,0.296,0.484363636,4.060606061,1.635878788,0.402865672,0.508,4.6,2,6.7,1.4,12.3,0.7,0.03,5.6,0.878606061,12.07996807,9.781614679,0.462507463,,,,,,,,,,,,,,,,,,,,
Shabazz Muhammad,Min,SG,22,38,22.8,47.4,25.6,0.071,145,0.717,346,9.105263158,0.503,4.579947368,51,1.342105263,0.392,0.526105263,10.44736842,5.106052632,0.488740554,0.556,13.5,4.1,10.2,1.2,9.6,0.47,0.18,7.1,2.735921053,21.66288467,17.54127075,0.513919395,,,,,,,,,,,,,,,,,,,,
Shabazz Napier,Mia,PG,23,51,19.8,41.3,15.7,0.243,56,0.786,110,2.156862745,0.4,0.862745098,118,2.31372549,0.364,0.842196078,4.470588235,1.704941176,0.381368421,0.517,5.1,2.2,6.7,2.5,19.9,0.78,0.08,6.1,0.863058824,13.28961343,10.76111104,0.475561404,,,,,,,,,,,,,,,,,,,,
Shane Larkin,Nyk,PG,22,76,24.5,51.1,13.8,0.151,78,0.782,316,4.157894737,0.481,1.999947368,116,1.526315789,0.302,0.460947368,5.684210526,2.460894737,0.432935185,0.504,6.2,2.3,5.5,3,19.4,1.22,0.12,5.7,0.802578947,13.57385477,10.99127218,0.473481481,,,,,,,,,,,,,,,,,,,,
Shannon Brown,Mia,SG,29,5,17.8,37,13.3,0.162,4,0.75,12,2.4,0.333,0.7992,7,1.4,0.429,0.6006,3.8,1.3998,0.368368421,0.482,4,0.2,0.7,0.6,5.2,0.8,0,1.8,0.6,6.193105542,5.01479571,0.447394737,,,,,,,,,,,,,,,,,,,,
Shaun Livingston,Gol,PG,29,78,18.8,39.2,16.2,0.19,91,0.714,394,5.051282051,0.503,2.540794872,2,0.025641026,0,0,5.076923077,2.540794872,0.500459596,0.529,5.9,2.3,6.7,3.3,24.2,0.63,0.26,7.6,0.833,17.35334211,14.05166842,0.500459596,,,,,,,,,,,,,,,,,,,,
Shavlik Randolph,Bos,PF,31,5,5,10.4,21.2,0.084,2,0.5,9,1.8,0.333,0.5994,1,0.2,0,0,2,0.5994,0.2997,0.322,1.4,2.4,26.4,0.2,5.9,0.2,0.2,7,0.2,9.220793714,7.466431251,0.2997,,,,,,,,,,,,,,,,,,,,
Shavlik Randolph,Pho,PF,31,16,6.3,13.2,13.8,0.064,10,0.5,21,1.3125,0.286,0.375375,4,0.25,0,0,1.5625,0.375375,0.24024,0.289,1.1,1.6,14.1,0.2,4,0.25,0.13,4.5,0.3125,3.076792108,2.491396886,0.24024,,,,,,,,,,,,,,,,,,,,
Shawn Marion,Cle,SF,36,57,19.3,40.2,13.1,0.105,34,0.765,221,3.877192982,0.484,1.876561404,46,0.807017544,0.261,0.210631579,4.684210526,2.087192982,0.445580524,0.489,4.8,3.5,10.5,0.9,6.9,0.47,0.47,5.1,0.456315789,11.64660851,9.430706778,0.46806367,,,,,,,,,,,,,,,,,,,,
Shawne Williams,Mia,SF,28,44,21,43.7,14.3,0.083,33,0.848,88,2,0.477,0.954,152,3.454545455,0.395,1.364545455,5.454545455,2.318545455,0.425066667,0.574,6.6,3.2,9,0.8,6.3,0.48,0.39,4.9,0.636,13.30007946,10.76958579,0.55015,,,,,,,,,,,,,,,,,,,,
Shawne Williams,Det,SF,28,19,8.6,17.9,19.3,0.1,7,1,34,1.789473684,0.441,0.789157895,26,1.368421053,0.154,0.210736842,3.157894737,0.999894737,0.316633333,0.388,2.6,1.4,9,0.4,7.6,0.21,0.21,5.3,0.368421053,6.807093644,5.511965487,0.35,,,,,,,,,,,,,,,,,,,,
Shayne Whittington,Ind,PF,23,20,5.4,11.3,24.2,0.088,23,0.783,36,1.8,0.5,0.9,6,0.3,0.167,0.0501,2.1,0.9501,0.452428571,0.547,2.9,1.5,14.8,0.3,9.6,0.25,0.1,8.1,0.90045,19.00855352,15.39195675,0.464357143,,,,,,,,,,,,,,,,,,,,
Shelvin Mack,Atl,PG,24,55,15.1,31.5,19.8,0.138,31,0.806,165,3,0.467,1.401,127,2.309090909,0.315,0.727363636,5.309090909,2.128363636,0.400890411,0.489,5.4,1.4,5.4,2.8,28.6,0.53,0.04,7.3,0.454290909,15.78134589,12.77876263,0.469392123,,,,,,,,,,,,,,,,,,,,
Solomon Hill,Ind,SF,23,82,29,60.5,16,0.137,193,0.824,426,5.195121951,0.43,2.233902439,208,2.536585366,0.327,0.829463415,7.731707317,3.063365854,0.396208202,0.507,8.9,3.8,7.3,2.2,11.9,0.8,0.22,5.8,1.939414634,13.22496424,10.7087621,0.44984858,,,,,,,,,,,,,,,,,,,,
Spencer Dinwiddie,Det,PG,21,34,13.4,27.9,21.4,0.152,34,0.912,104,3.058823529,0.375,1.147058824,65,1.911764706,0.185,0.353676471,4.970588235,1.500735294,0.301923077,0.394,4.3,1.4,5.7,3.1,34.9,0.56,0.18,7.9,0.912,14.41700706,11.67400502,0.3375,,,,,,,,,,,,,,,,,,,,
Spencer Hawes,Lac,PF,26,73,17.5,36.4,18.1,0.121,68,0.647,239,3.273972603,0.452,1.479835616,175,2.397260274,0.314,0.752739726,5.671232877,2.232575342,0.393666667,0.479,5.8,3.5,11.4,1.2,10,0.33,0.73,6.6,0.602684932,14.22299896,11.5169092,0.460031401,,,,,,,,,,,,,,,,,,,,
Stephen Curry,Gol,PG,26,80,32.7,68.1,29.4,0.143,337,0.914,695,8.6875,0.528,4.587,646,8.075,0.443,3.577225,16.7625,8.164225,0.487052946,0.638,23.8,4.3,7,7.7,38.6,2.04,0.2,11.3,3.850225,35.76032887,28.95651343,0.593756152,,,,,,,,,,,,,,,,,,,,
Steve Blake,Por,PG,34,81,18.9,39.3,13.3,0.232,41,0.707,108,1.333333333,0.417,0.556,219,2.703703704,0.352,0.951703704,4.037037037,1.507703704,0.37346789,0.507,4.3,1.7,4.8,3.6,26.2,0.51,0.06,6.3,0.357864198,13.26983218,10.7450934,0.49133945,,,,,,,,,,,,,,,,,,,,
Steve Novak,Uta,SF,31,22,5,10.4,16.6,0.077,2,0,2,0.090909091,0,0,33,1.5,0.485,0.7275,1.590909091,0.7275,0.457285714,0.669,2.2,0.7,8.5,0.3,9.3,0,0.05,6.2,0,11.39919649,9.230367749,0.685928571,,,,,,,,,,,,,,,,,,,,
Steve Novak,Okc,SF,31,13,6.8,14.1,11.4,0.087,0,0,6,0.461538462,0.5,0.230769231,15,1.153846154,0.2,0.230769231,1.615384615,0.461538462,0.285714286,0.357,1.2,0.5,3.7,0.4,7.8,0,0.08,3.7,0,-0.303858995,-0.246046313,0.357142857,,,,,,,,,,,,,,,,,,,,
Steven Adams,Okc,C,21,70,25.3,52.7,14.5,0.168,205,0.502,397,5.671428571,0.547,3.102271429,2,0.028571429,0,0,5.7,3.102271429,0.544258145,0.549,7.7,7.5,15.8,0.9,5.4,0.54,1.23,5.9,1.470142857,17.62554048,14.27207791,0.544258145,,,,,,,,,,,,,,,,,,,,
Taj Gibson,Chi,PF,29,62,27.3,56.9,17.9,0.116,184,0.717,507,8.177419355,0.503,4.113241935,0,0,0,0,8.177419355,4.113241935,0.503,0.546,10.4,6.4,12.8,1.1,6.9,0.58,1.21,6.1,2.127870968,18.39374671,14.89412403,0.503,,,,,,,,,,,,,,,,,,,,
Tarik Black,Hou,C,23,25,15.7,32.7,12.9,0.166,29,0.517,82,3.28,0.549,1.80072,1,0.04,0,0,3.32,1.80072,0.542385542,0.548,4.2,5.1,17.9,0.3,3.1,0.24,0.08,4.7,0.59972,13.83079556,11.19932702,0.542385542,,,,,,,,,,,,,,,,,,,,
Tarik Black,Lal,C,23,38,21.1,44,14.5,0.112,89,0.562,190,5,0.589,2.945,0,0,0,0,5,2.945,0.589,0.598,7.2,6.3,16.6,0.9,6.8,0.34,0.58,6.5,1.316263158,18.58097973,15.04573381,0.589,,,,,,,,,,,,,,,,,,,,
Tayshaun Prince,Bos,SF,34,9,22,45.9,14.7,0.061,6,0.833,51,5.666666667,0.549,3.111,8,0.888888889,0.625,0.555555556,6.555555556,3.666555556,0.559305085,0.616,8.4,3.3,8.3,2,14.3,0.56,0.22,6.9,0.555333333,18.24079106,14.77026996,0.601677966,,,,,,,,,,,,,,,,,,,,
Tayshaun Prince,Mem,SF,34,26,24.2,50.3,15.7,0.071,30,0.833,150,5.769230769,0.4,2.307692308,33,1.269230769,0.455,0.5775,7.038461538,2.885192308,0.409918033,0.484,7.3,3.2,7.6,1.4,8.9,0.35,0.23,5.3,0.961153846,11.10390272,8.991257027,0.450942623,,,,,,,,,,,,,,,,,,,,
Tayshaun Prince,Det,SF,34,23,24.8,51.7,14.9,0.085,29,0.655,134,5.826086957,0.433,2.522695652,26,1.130434783,0.423,0.478173913,6.956521739,3.000869565,0.431375,0.486,7.3,4.2,9.1,1.7,10.3,0.65,0.35,6,0.825869565,13.0667581,10.58065651,0.46574375,,,,,,,,,,,,,,,,,,,,
Terrence Jones,Hou,PF,23,33,27,56.2,18.7,0.098,94,0.606,262,7.939393939,0.553,4.390484848,37,1.121212121,0.351,0.393545455,9.060606061,4.784030303,0.528003344,0.567,11.7,6.7,13.7,1.1,6.9,0.55,1.79,6.5,1.726181818,21.30730582,17.25334488,0.549720736,,,,,,,,,,,,,,,,,,,,
Terrence Ross,Tor,SF,23,82,25.5,53.1,18.5,0.081,56,0.786,363,4.426829268,0.452,2.000926829,390,4.756097561,0.372,1.769268293,9.182926829,3.770195122,0.410565737,0.519,9.8,2.8,6.2,1,6.5,0.65,0.3,4.7,0.536780488,13.09494794,10.60348291,0.506900398,,,,,,,,,,,,,,,,,,,,
Thabo Sefolosha,Atl,SF,30,52,18.8,39.1,14.9,0.122,58,0.776,171,3.288461538,0.462,1.519269231,78,1.5,0.321,0.4815,4.788461538,2.000769231,0.417831325,0.506,5.3,4.3,13.1,1.4,11.2,1.02,0.4,6.7,0.865538462,16.14803784,13.0756872,0.468108434,,,,,,,,,,,,,,,,,,,,
Thaddeus Young,Bro,PF,26,28,29.6,61.7,22.3,0.105,71,0.606,277,9.892857143,0.516,5.104714286,50,1.785714286,0.38,0.678571429,11.67857143,5.783285714,0.495204893,0.539,13.8,5.9,11.2,1.4,8,1.36,0.29,6.6,1.536642857,19.70760166,15.95800291,0.524256881,,,,,,,,,,,,,,,,,,,,
Thaddeus Young,Min,PF,26,48,33.4,69.6,21.5,0.097,129,0.682,576,12,0.469,5.628,65,1.354166667,0.292,0.395416667,13.35416667,6.023416667,0.451051482,0.491,14.3,5.1,8.7,2.8,14.7,1.77,0.35,7.1,1.832875,18.1119255,14.66592256,0.465856474,,,,,,,,,,,,,,,,,,,,
