NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PAT,2PA,2P%,2PM,3PAT,3PA,3P%,3PM,FGA,FGM,FG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI,FTM,PER_n,PER,eFG%,,,,,,,,,,,,,,,,,,,,
Michael Kidd-Gilchrist,Cha,SF,21,55,28.9,60.1,18.6,0.099,214,0.701,482,8.763636364,0.465,4.075090909,0,0,0,0,8.763636364,4.075090909,0.465,0.519,10.9,7.6,14.4,1.4,8.2,0.55,0.69,6.7,2.727527273,17.70104454,14.33321645,0.465,,,,,,,,,,,,,,,,,,,,
Mike Conley,Mem,PG,27,70,31.8,66.2,24,0.136,249,0.859,605,8.642857143,0.473,4.088071429,277,3.957142857,0.386,1.527457143,12.6,5.615528571,0.445676871,0.558,15.8,3,5.4,5.4,28,1.27,0.2,8,3.055585714,22.53617427,18.24840693,0.506290249,,,,,,,,,,,,,,,,,,,,
Mike Dunleavy,Chi,SF,34,63,29.2,60.8,14.4,0.104,87,0.805,218,3.46031746,0.468,1.619428571,263,4.174603175,0.407,1.699063492,7.634920635,3.318492063,0.43464657,0.573,9.4,3.9,7.3,1.8,9.8,0.62,0.33,5.5,1.111666667,14.08470241,11.40492517,0.5459158,,,,,,,,,,,,,,,,,,,,
Mike Miller,Cle,SF,34,52,13.5,28.1,9.1,0.166,4,0.75,16,0.307692308,0.313,0.096307692,98,1.884615385,0.327,0.616269231,2.192307692,0.712576923,0.325035088,0.471,2.1,1.8,7.4,0.9,9,0.27,0.08,4.5,0.057692308,6.713465166,5.436150908,0.465587719,,,,,,,,,,,,,,,,,,,,
Mike Muscala,Atl,PF,23,40,12.6,26.2,16.9,0.115,25,0.88,129,3.225,0.574,1.85115,22,0.55,0.409,0.22495,3.775,2.0761,0.549960265,0.608,4.9,3,13.6,0.6,8,0.4,0.48,6.6,0.55,19.11663259,15.47947253,0.579754967,,,,,,,,,,,,,,,,,,,,
Mike Scott,Atl,PF,26,68,16.5,34.4,21.7,0.074,77,0.792,261,3.838235294,0.517,1.984367647,192,2.823529412,0.344,0.971294118,6.661764706,2.955661765,0.443675497,0.543,7.8,2.9,10.1,1.1,10.9,0.37,0.04,7.1,0.896823529,17.31844932,14.02341438,0.516576159,,,,,,,,,,,,,,,,,,,,
Miles Plumlee,Pho,C,26,54,18.6,38.8,11.4,0.175,38,0.5,195,3.611111111,0.549,1.9825,0,0,0,0,3.611111111,1.9825,0.549,0.55,4.3,5.1,14.9,0.5,3.9,0.65,1.02,4.8,0.351851852,15.42837455,12.49294816,0.549,,,,,,,,,,,,,,,,,,,,
Miles Plumlee,Mil,C,26,19,10,20.8,16.6,0.088,8,0.375,59,3.105263158,0.492,1.527789474,0,0,0,0,3.105263158,1.527789474,0.492,0.488,3.2,2.4,13.9,0.4,6,0.32,0.58,5.8,0.157894737,14.36885758,11.63501653,0.492,,,,,,,,,,,,,,,,,,,,
Mirza Teletovic,Bro,PF,29,40,22.3,46.5,20.3,0.135,46,0.717,126,3.15,0.476,1.4994,193,4.825,0.321,1.548825,7.975,3.048225,0.382222571,0.5,8.5,4.9,12.2,1.1,8,0.35,0.4,6.4,0.82455,14.72931892,11.92689593,0.479327586,,,,,,,,,,,,,,,,,,,,
Mitch McGary,Okc,PF,22,32,15.2,31.6,19.2,0.145,40,0.625,163,5.09375,0.54,2.750625,2,0.0625,0,0,5.15625,2.750625,0.533454545,0.55,6.3,5.2,18.2,0.4,4.6,0.5,0.5,6.2,0.78125,20.46468071,16.57103893,0.533454545,,,,,,,,,,,,,,,,,,,,
Mo Williams,Cha,PG,32,27,30.8,64.2,29.1,0.134,93,0.892,235,8.703703704,0.43,3.742592593,178,6.592592593,0.337,2.221703704,15.2962963,5.964296296,0.389917676,0.512,17.2,2.8,5,6,36.4,0.59,0.22,8.6,3.072444444,21.89816171,17.73178362,0.462539952,,,,,,,,,,,,,,,,,,,,
Mo Williams,Min,PG,32,41,28,58.4,23,0.174,94,0.851,277,6.756097561,0.437,2.952414634,170,4.146341463,0.347,1.438780488,10.90243902,4.391195122,0.402771812,0.511,12.2,2.4,4.9,6.4,38,0.73,0.22,8.2,1.951073171,20.34919732,16.47752759,0.468756152,,,,,,,,,,,,,,,,,,,,
Monta Ellis,Dal,SG,29,80,33.7,70.3,28.3,0.117,303,0.752,1070,13.375,0.487,6.513625,284,3.55,0.285,1.01175,16.925,7.525375,0.444630724,0.509,18.9,2.4,3.9,4.1,20.5,1.85,0.31,6.8,2.8482,21.29491756,17.24331363,0.474519941,,,,,,,,,,,,,,,,,,,,
Nate Robinson,Den,PG,30,33,14.1,29.3,23,0.09,40,0.65,112,3.393939394,0.42,1.425454545,92,2.787878788,0.261,0.727636364,6.181818182,2.153090909,0.348294118,0.433,5.8,1.2,4.5,2.3,26.4,0.42,0.09,7.1,0.787878788,13.52168156,10.94902553,0.407147059,,,,,,,,,,,,,,,,,,,,
Nate Robinson,Lac,PG,30,9,14,29.2,22.3,0.13,6,0.833,31,3.444444444,0.323,1.112555556,20,2.222222222,0.35,0.777777778,5.666666667,1.890333333,0.333588235,0.429,5.1,1.2,4.9,2.2,23.2,0.67,0,6.8,0.555333333,13.02707654,10.54852482,0.402215686,,,,,,,,,,,,,,,,,,,,
Nate Wolters,Mil,PG,23,11,12.9,26.8,11.6,0.084,4,0.25,26,2.363636364,0.462,1.092,5,0.454545455,0,0,2.818181818,1.092,0.387483871,0.382,2.3,1.5,6.5,0.9,10.3,0.45,0,4.5,0.090909091,6.042608919,4.892932807,0.387483871,,,,,,,,,,,,,,,,,,,,
Nate Wolters,Nor,PG,23,10,10.5,21.9,16.3,0.271,2,0.5,24,2.4,0.333,0.7992,2,0.2,0,0,2.6,0.7992,0.307384615,0.316,1.7,1.8,9.7,1.1,14.8,0.3,0.2,5.7,0.1,6.445403241,5.219090859,0.307384615,,,,,,,,,,,,,,,,,,,,
Nazr Mohammed,Chi,C,37,23,5.6,11.6,13.3,0.188,3,0.333,29,1.260869565,0.414,0.522,0,0,0,0,1.260869565,0.522,0.414,0.412,1.1,1.6,15.7,0.1,3.5,0.17,0.22,4,0.043434783,6.597053059,5.341887548,0.414,,,,,,,,,,,,,,,,,,,,
