NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PAT,2PA,2P%,2PM,3PAT,3PA,3P%,3PM,FGA,FGM,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI,FTM,PER_n,PER,ORTG,DRTG,TOPG,eFG%
Vince Carter,Sac,SG,41,58,17.7,36.9,14.7,0.107,37,0.757,118,2.034482759,0.483,0.982655172,165,2.844827586,0.345,0.981465517,4.879310345,1.96412069,0.504,0.523,5.4,2.6,8.2,1.2,9.7,0.72,0.45,5.8,0.482913793,13.87866011,10.40899508,103.7,104.5,0.62,0.503114841
Vincent Hunter,Mem,SF,23,4,1.9,3.9,36.4,0.167,0,0,5,1.25,0.6,0.75,0,0,0,0,1.25,0.75,0.6,0.6,1.5,0.8,23.5,0,0,0,0.25,0,0,0,0,,,0.25,0.6
Wade Baldwin IV,Por,PG,21,7,11.5,24,16,0.136,10,0.6,16,2.285714286,0.625,1.428571429,5,0.714285714,0.8,0.571428571,3,2,0.762,0.748,5.4,1.1,5.4,0.7,9.7,0.29,0.14,5.6,0.857142857,19.58640261,14.68980196,131.5,95.4,0.57,0.761904762
Walter Lemon Jr.,Nor,PG,25,5,7,14.6,26.3,0.188,3,0.667,15,3,0.4,1.2,1,0.2,1,0.2,3.2,1.4,0.469,0.491,3.4,0.4,3.1,1,21,0,0.2,6.3,0.4002,12.9640408,9.723030601,88,101.4,0.8,0.46875
Wayne Ellington,Mia,SG,30,77,26.5,55.2,17.3,0.066,78,0.859,121,1.571428571,0.479,0.752714286,579,7.519480519,0.392,2.947636364,9.090909091,3.700350649,0.569,0.588,11.2,2.8,6,1,5.9,0.69,0.1,4.8,0.870155844,15.08771247,11.31578435,113.7,107.2,0.68,0.569158571
Wayne Selden,Mem,G,23,35,19.8,41.2,22.7,0.155,59,0.746,147,4.2,0.456,1.9152,122,3.485714286,0.402,1.401257143,7.685714286,3.316457143,0.522,0.551,9.3,1.6,4.7,1.9,16,0.51,0.14,6.2,1.257542857,16.95864553,12.71898414,101.7,108.8,1.54,0.522669145
Wes Iwundu,Orl,SG,23,62,16.5,34.3,11.6,0.112,47,0.723,172,2.774193548,0.488,1.353806452,46,0.741935484,0.196,0.145419355,3.516129032,1.499225806,0.447,0.48,3.7,2.2,7.4,0.9,7.8,0.53,0.19,4.7,0.548080645,9.657801422,7.243351066,100.4,106.6,0.48,0.44706422
Wesley Johnson,Lac,SF,30,74,20.1,41.8,13,0.123,58,0.741,191,2.581081081,0.471,1.215689189,177,2.391891892,0.339,0.810851351,4.972972973,2.026540541,0.489,0.512,5.4,2.9,8,0.8,5.6,1.03,0.84,4.6,0.580783784,13.38334251,10.03750688,99.5,102.2,0.74,0.489036685
Wesley Matthews,Dal,SG,31,63,33.8,70.5,17.6,0.101,101,0.822,295,4.682539683,0.441,2.065,402,6.380952381,0.381,2.431142857,11.06349206,4.496142857,0.516,0.541,12.7,3.1,5.2,2.7,12.3,1.21,0.25,5.6,1.317809524,15.18797193,11.39097895,105.1,106.9,1.32,0.516266858
Will Barton,Den,SG,27,81,33.1,69,20.7,0.117,226,0.805,606,7.481481481,0.51,3.815555556,422,5.209876543,0.37,1.927654321,12.69135802,5.743209877,0.528,0.562,15.7,5,8.6,4.1,18.5,1.01,0.64,8.3,2.246049383,21.57687254,16.18265441,113.1,107.8,1.85,0.528472763
Willie Cauley-Stein,Sac,C,24,73,28,58.3,21.8,0.11,247,0.619,760,10.4109589,0.507,5.278356164,12,0.164383562,0.25,0.04109589,10.57534247,5.319452055,0.505,0.529,12.8,7,14.2,2.4,13.7,1.05,0.92,8.6,2.094424658,22.27266829,16.70450121,106.6,103.3,1.49,0.504948186
Willie Reed,Lac,PF,27,39,10.7,22.4,16.8,0.116,55,0.582,118,3.025641026,0.669,2.024153846,2,0.051282051,0.5,0.025641026,3.076923077,2.049794872,0.671,0.669,4.9,3.1,15.7,0.2,3.3,0.23,0.56,5.4,0.820769231,22.33501229,16.75125922,124.8,98.6,0.49,0.67035
Willie Reed,Det,PF,27,3,3.1,6.5,4.8,0,0,0,1,0.333333333,1,0.333333333,0,0,0,0,0.333333333,0.333333333,1,1,0.7,0.3,5.9,0.3,15.3,0,0,5.1,0,3.171607211,2.378705408,,,0,1
Willy Hernangomez,Nyk,C,23,26,9,18.6,22.4,0.218,28,0.429,76,2.923076923,0.632,1.847384615,5,0.192307692,0.2,0.038461538,3.115384615,1.885846154,0.611,0.595,4.3,2.6,16,0.8,14.3,0.31,0.27,9.2,0.462,22.61956317,16.96467238,102.3,97.4,1,0.611506173
Willy Hernangomez,Cha,C,23,22,11.9,24.8,19.8,0.067,62,0.758,77,3.5,0.494,1.729,7,0.318181818,0.571,0.181681818,3.818181818,1.910681818,0.524,0.607,6.1,5.3,24,0.5,7.1,0.45,0.41,8.5,2.136181818,27.47470677,20.60603008,132.1,94.2,0.36,0.524208333
Wilson Chandler,Den,SF,30,74,31.7,66.1,14.3,0.119,114,0.772,385,5.202702703,0.501,2.606554054,246,3.324324324,0.358,1.190108108,8.527027027,3.796662162,0.515,0.542,10,5.4,9.5,2.1,9.4,0.58,0.53,6.1,1.189297297,14.56806916,10.92605187,110.2,108.1,1.24,0.515034865
Xavier Munford,Mil,PG,25,6,3.5,7.2,19.3,0.225,2,0.5,4,0.666666667,0.25,0.166666667,2,0.333333333,0,0,1,0.166666667,0.167,0.218,0.5,0.2,2.8,0.7,24.9,0.17,0,4.7,0.166666667,-3.44864845,-2.586486337,,,0.33,0.166666667
Xavier Rathan-Mayes,Mem,SG,23,5,23.6,49.1,21.7,0.193,9,0.444,28,5.6,0.393,2.2008,14,2.8,0.071,0.1988,8.4,2.3996,0.298,0.315,5.8,1,2.5,3.6,23.1,1.2,0.6,4.7,0.7992,8.390874713,6.293156035,67.8,99.5,2.2,0.2975
Xavier Silas,Bos,G,30,2,3.8,7.8,17.9,0,0,0,1,0.5,0,0,2,1,0,0,1.5,0,0,0,0,1,14.6,0,0,0.5,0,0,0,0,0,,,0,0
Yogi Ferrell,Dal,PG,24,82,27.8,58,17,0.091,103,0.796,372,4.536585366,0.476,2.159414634,359,4.37804878,0.373,1.633012195,8.914634146,3.792426829,0.517,0.54,10.2,3,6.1,2.5,13.5,0.78,0.11,6.1,0.999853659,14.97163887,11.22872915,106.9,106.8,0.95,0.517007524
Zach Collins,Por,C,20,66,15.8,33,15.4,0.161,42,0.643,177,2.681818182,0.452,1.212181818,113,1.712121212,0.31,0.530757576,4.393939394,1.742939394,0.457,0.473,4.4,3.3,11.5,0.8,7.1,0.26,0.47,5.7,0.409181818,11.81140504,8.858553778,92.6,96.1,0.89,0.457065517
Zach LaVine,Chi,SG,22,24,27.3,57,29.5,0.097,107,0.813,232,9.666666667,0.405,3.915,123,5.125,0.341,1.747625,14.79166667,5.662625,0.442,0.499,16.7,4,7.8,3,18.6,1,0.17,8.6,3.624625,21.67303411,16.25477558,99.2,105.1,1.79,0.4419
Zach Randolph,Sac,PF,36,59,25.6,53.2,27.6,0.125,107,0.785,616,10.44067797,0.503,5.251661017,147,2.491525424,0.347,0.864559322,12.93220339,6.116220339,0.507,0.529,14.5,6.7,15,2.2,14.9,0.71,0.17,9.3,1.423644068,23.39414963,17.54561222,101.6,105,1.97,0.50637156
Zaza Pachulia,Gol,C,33,69,14.1,29.3,17,0.194,93,0.806,262,3.797101449,0.569,2.160550725,1,0.014492754,0,0,3.811594203,2.160550725,0.567,0.614,5.4,4.7,18.5,1.6,15.2,0.55,0.25,9.8,1.086347826,23.56352942,17.67264707,117.6,95.6,1.06,0.566836502
Zhou Qi,Hou,PF,22,18,6.9,14.4,16.8,0.212,12,0.667,13,0.722222222,0.308,0.222444444,19,1.055555556,0.105,0.110833333,1.777777778,0.333277778,0.219,0.295,1.2,1.2,10,0.1,2.1,0.11,0.78,3,0.444666667,3.445186143,2.583889607,60.8,98.2,0.56,0.218640625
