NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PAT,2PA,2P%,2PM,3PAT,3PA,3P%,3PM,FGA,FGM,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI,FTM,PER_n,PER,ORTG,DRTG,TOPG,eFG%
Terrance Ferguson,Okc,SG,19,61,12.5,26.1,10.4,0.06,10,0.9,49,0.803278689,0.612,0.491606557,120,1.967213115,0.333,0.655081967,2.770491803,1.146688525,0.533,0.545,3.1,0.8,3.4,0.3,3.4,0.39,0.16,2.9,0.147540984,7.489239111,5.616929334,114.9,102.2,0.18,0.532118343
Terrence Ross,Orl,SF,26,24,25,52.1,17.3,0.123,36,0.75,98,4.083333333,0.469,1.915083333,93,3.875,0.323,1.251625,7.958333333,3.166708333,0.476,0.505,8.7,3,6.7,1.6,9.3,1.13,0.46,5.6,1.125,14.4149392,10.8112044,96.6,106.1,1.21,0.47654712
Terry Rozier,Bos,PG,23,80,25.9,53.9,20.4,0.085,149,0.772,398,4.975,0.41,2.03975,402,5.025,0.381,1.914525,10,3.954275,0.491,0.52,11.3,4.7,9.9,2.9,17.5,1,0.24,8.3,1.43785,19.11785304,14.33838978,109.1,100.3,1,0.49115375
Thabo Sefolosha,Uta,SF,33,38,21.2,44.2,16.4,0.102,54,0.815,156,4.105263158,0.551,2.262,84,2.210526316,0.381,0.842210526,6.315789474,3.104210526,0.558,0.591,8.2,4.2,11.3,0.9,6.3,1.37,0.32,5.9,1.158157895,19.33110381,14.49832786,113.8,96.9,0.79,0.558175
Thaddeus Young,Ind,PF,29,81,32.2,67.1,17.3,0.104,92,0.598,684,8.444444444,0.531,4.484,181,2.234567901,0.32,0.715061728,10.67901235,5.199061728,0.52,0.527,11.8,6.3,11.1,1.9,8.5,1.67,0.44,6.5,0.679209877,17.73162086,13.29871564,108.4,103.8,1.3,0.520328323
Thomas Bryant,Lal,C,20,15,4.8,10,15.8,0.074,9,0.556,11,0.733333333,0.636,0.4664,10,0.666666667,0.1,0.066666667,1.4,0.533066667,0.405,0.441,1.5,1.1,12.5,0.4,11.4,0.07,0.13,7.3,0.3336,7.849121511,5.886841133,99.6,102.5,0.13,0.404571429
Thon Maker,Mil,PF,20,74,16.7,34.9,14.6,0.11,93,0.699,212,2.864864865,0.467,1.337891892,104,1.405405405,0.298,0.418810811,4.27027027,1.756702703,0.46,0.499,4.8,3,10.6,0.6,5.2,0.51,0.72,4.9,0.878472973,12.91255257,9.684414429,103.6,100.4,0.59,0.460417722
Tim Frazier,Was,PG,27,59,14.2,29.6,12.8,0.235,30,0.767,116,1.966101695,0.44,0.865084746,56,0.949152542,0.304,0.288542373,2.915254237,1.153627119,0.445,0.475,3,1.9,7.8,3.3,31.1,0.8,0.12,7.5,0.39,16.23827257,12.17870443,105.3,98.8,0.97,0.445209303
Tim Hardaway Jr.,Nyk,SG,25,57,33.1,68.9,23.8,0.09,179,0.816,446,7.824561404,0.516,4.037473684,410,7.192982456,0.317,2.280175439,15.01754386,6.317649123,0.496,0.533,17.5,3.9,6.6,2.7,12.7,1.11,0.18,6.9,2.562526316,19.36844013,14.5263301,106.3,108.6,1.61,0.496601636
Tim Quarterman,Hou,SG,23,3,4.2,8.8,20.4,0.34,2,1,1,0.333333333,1,0.333333333,2,0.666666667,0,0,1,0.333333333,0.333,0.515,1.3,1,13.3,0.3,10.9,0,0,7,0.666666667,7.434411565,5.575808673,77.9,100.6,0.67,0.333333333
