NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PAT,2PA,2P%,2PM,3PAT,3PA,3P%,3PM,FGA,FGM,FG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI,FTM,PER_n,PER,eFG%
Aaron Brooks,Ind,PG,32,65,13.7,28.6,19.2,0.17,40,0.8,172,2.646153846,0.424,1.121969231,128,1.969230769,0.375,0.738461538,4.615384615,1.860430769,0.403093333,0.507,5,1.1,4.3,1.9,20.7,0.38,0.14,6.4,0.492307692,13.99453981,9.627062469,0.483093333
Aaron Gordon,Orl,SF,21,80,28.7,59.8,20.1,0.085,217,0.719,598,7.475,0.528,3.9468,267,3.3375,0.288,0.9612,10.8125,4.908,0.453919075,0.53,12.7,5.1,9.6,1.9,10.5,0.81,0.5,6.9,1.9502875,18.27647926,12.57267548,0.49836763
Adreian Payne,Min,PF,25,18,7.5,15.7,23,0.114,19,0.737,39,2.166666667,0.513,1.1115,15,0.833333333,0.2,0.166666667,3,1.278166667,0.426055556,0.505,3.5,1.8,14.2,0.4,8,0.44,0.39,7.3,0.777944444,18.64504751,12.82621934,0.453833334
AJ Hammons,Dal,C,24,22,7.4,15.5,17.6,0.164,20,0.45,32,1.454545455,0.375,0.545454545,10,0.454545455,0.5,0.227272727,1.909090909,0.772727273,0.404761905,0.472,2.2,1.7,13.2,0.2,3.8,0.05,0.59,4.9,0.409090909,10.50145418,7.224114319,0.464285714
Al Horford,Bos,C,30,68,32.3,67.2,19.7,0.118,135,0.8,559,8.220588235,0.524,4.307588235,242,3.558823529,0.355,1.263382353,11.77941176,5.570970588,0.472941323,0.553,14,6.8,11.8,5,24.4,0.76,1.26,9.7,1.588235294,23.18479627,15.9491834,0.52656804
Al Jefferson,Ind,C,32,66,14.1,29.4,26.1,0.061,85,0.765,470,7.121212121,0.5,3.560606061,1,0.015151515,0,0,7.136363636,3.560606061,0.498938429,0.526,8.1,4.2,16.8,0.9,11,0.29,0.24,8.9,0.985227273,22.80096183,15.68513769,0.498938429
Alan Anderson,Lac,SF,34,30,10.3,21.4,13.7,0.074,16,0.75,36,1.2,0.444,0.5328,44,1.466666667,0.318,0.4664,2.666666667,0.9992,0.3747,0.494,2.9,0.8,4.4,0.4,4.9,0.1,0,3.8,0.4,5.954256232,4.096025842,0.46215
Alan Williams,Pho,PF,24,47,15.1,31.4,20.9,0.105,112,0.625,266,5.659574468,0.519,2.937319149,1,0.021276596,0,0,5.680851064,2.937319149,0.51705618,0.547,7.4,6.2,22.3,0.5,5.2,0.57,0.68,7.5,1.489361702,24.87279592,17.11038472,0.51705618
Alec Burks,Uta,SG,25,42,15.6,32.4,22.7,0.11,78,0.769,172,4.095238095,0.43,1.760952381,76,1.80952381,0.329,0.595333333,5.904761905,2.356285714,0.399048387,0.501,6.7,2.9,10.6,0.7,7.5,0.43,0.12,6.1,1.428142857,15.016075,10.32979248,0.449459677
Alex Abrines,Okc,SG,23,68,15.5,32.3,15.9,0.083,49,0.898,94,1.382352941,0.426,0.588882353,247,3.632352941,0.381,1.383926471,5.014705882,1.972808824,0.393404692,0.56,6,1.3,4.5,0.6,5.5,0.54,0.13,4.3,0.647088235,12.81798717,8.817693535,0.531391496
Alex Len,Pho,C,23,77,20.3,42.2,17.6,0.155,208,0.721,451,5.857142857,0.503,2.946142857,12,0.155844156,0.25,0.038961039,6.012987013,2.985103896,0.496442765,0.553,8,6.6,17.8,0.6,4.2,0.49,1.27,6.2,1.947636364,20.97730862,14.43061818,0.499682505
Alex Poythress,Phi,SF,23,6,26.1,54.4,17,0.049,10,0.8,35,5.833333333,0.543,3.1675,19,3.166666667,0.316,1.000666667,9,4.168166667,0.46312963,0.548,10.7,4.7,9.8,0.8,5.2,0.5,0.17,5.3,1.333333333,15.61474185,10.74162475,0.518722222
Alexis Ajinca,Nor,C,28,39,15,31.2,17.2,0.137,40,0.725,174,4.461538462,0.511,2.279846154,4,0.102564103,0,0,4.564102564,2.279846154,0.499516854,0.529,5.3,4.5,16,0.3,3.1,0.51,0.56,5.1,0.743589744,17.37863529,11.95503459,0.499516854
Al-Farouq Aminu,Por,SF,26,61,29.1,60.6,15.4,0.151,136,0.706,254,4.163934426,0.445,1.85295082,213,3.491803279,0.329,1.148803279,7.655737705,3.001754098,0.392092077,0.505,8.7,7.4,14.1,1.6,7.9,1,0.72,6.4,1.574032787,15.94929889,10.97177177,0.467120985
Allen Crabbe,Por,SG,24,79,28.5,59.4,14.9,0.081,124,0.847,345,4.367088608,0.49,2.139873418,302,3.82278481,0.444,1.697316456,8.189873418,3.837189873,0.468528594,0.602,10.7,2.8,5.5,1.2,6.1,0.68,0.25,4.6,1.329468354,14.71183586,10.12050162,0.572151468
Alonzo Gee,Den,SF,29,13,6.9,14.3,10.4,0.182,9,0.556,11,0.846153846,0.273,0.231,3,0.230769231,0,0,1.076923077,0.231,0.2145,0.306,0.8,1.2,9.3,0.5,8.2,0.38,0.08,4.5,0.384923077,4.390417337,3.020236645,0.2145
Amir Johnson,Bos,PF,29,80,20.1,41.9,13.5,0.157,100,0.67,304,3.8,0.612,2.3256,66,0.825,0.409,0.337425,4.625,2.663025,0.575789189,0.628,6.5,4.6,12.7,1.8,13,0.64,0.78,7.5,0.8375,19.70116815,13.55274122,0.612267568
Anderson Varejao,Gol,C,34,14,6.6,13.7,12.6,0.298,11,0.727,14,1,0.357,0.357,0,0,0,0,1,0.357,0.357,0.478,1.3,1.9,16.1,0.7,13,0.21,0.21,7.3,0.571214286,11.99106374,8.248839997,0.357
