NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,Tor%,FTAT,FTA,FTM,FT%,2PAT,2PA,2PM,2P%,3PAT,3PA,3PM,3P%,FGA,FGM,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TO,VI,ORTG,DRTG,PER_n,PER
De'Anthony Melton,Mem,G,22.97,52.00,20.10,41.90,19.50,13.70,51.00,0.98,0.79,0.80,182.00,3.50,1.63,0.47,211.00,4.06,1.67,0.41,7.56,3.31,0.55,0.57,9.10,3.10,8.20,2.50,17.50,1.13,0.60,1.27,8.20,109.20,105.50,18.68,14.01
Sam Merrill,Mil,G,25.00,30.00,7.80,16.20,15.10,11.90,4.00,0.13,0.13,1.00,25.00,0.83,0.37,0.44,47.00,1.57,0.70,0.45,2.40,1.07,0.59,0.60,3.00,1.00,6.80,0.70,11.40,0.27,0.03,0.33,6.60,117.50,108.00,11.88,8.91
Chimezie Metu,Sac,F-C,24.15,36.00,13.60,28.20,20.00,12.80,43.00,1.19,0.86,0.72,142.00,3.94,2.17,0.55,37.00,1.03,0.36,0.35,4.97,2.53,0.55,0.57,6.30,3.10,12.80,0.80,8.20,0.39,0.53,0.81,7.40,108.60,107.20,17.29,12.97
Khris Middleton,Mil,F,29.76,68.00,33.40,69.50,25.00,13.10,236.00,3.47,3.12,0.90,709.00,10.43,5.30,0.51,365.00,5.37,2.22,0.41,15.79,7.52,0.55,0.59,20.40,6.00,9.40,5.40,23.20,1.09,0.15,2.60,10.40,115.50,107.10,23.60,17.70
Darius Miller,Okc,F,31.16,18.00,10.90,22.80,13.20,13.10,12.00,0.67,0.67,1.00,6.00,0.33,0.28,0.83,42.00,2.33,0.95,0.41,2.67,1.22,0.64,0.69,4.10,1.30,6.30,1.20,15.40,0.67,0.28,0.44,6.80,129.60,109.10,17.32,12.99
Paul Millsap,Den,F,36.26,56.00,20.80,43.20,18.60,10.30,98.00,1.75,1.27,0.72,258.00,4.61,2.53,0.55,143.00,2.55,0.88,0.34,7.16,3.41,0.54,0.57,9.00,4.70,12.70,1.80,11.60,0.91,0.64,0.91,8.20,116.00,104.20,19.24,14.43
Patty Mills,San,G,32.76,68.00,24.80,51.60,18.40,9.10,78.00,1.15,1.04,0.91,182.00,2.68,1.34,0.50,430.00,6.32,2.37,0.37,9.00,3.70,0.54,0.57,10.80,1.70,3.70,2.40,13.50,0.60,0.04,0.96,5.70,110.70,113.70,14.09,10.57
Shake Milton,Phi,G-F,24.64,63.00,23.20,48.30,25.00,12.20,176.00,2.79,2.32,0.83,464.00,7.37,3.64,0.49,203.00,3.22,1.13,0.35,10.59,4.77,0.50,0.55,13.00,2.30,5.60,3.10,20.30,0.62,0.29,1.63,7.80,108.40,104.40,18.15,13.61
Donovan Mitchell,Uta,G,24.69,53.00,33.40,69.60,33.50,10.70,316.00,5.96,5.04,0.85,630.00,11.89,5.66,0.48,461.00,8.70,3.36,0.39,20.58,9.02,0.52,0.57,26.40,4.40,7.00,5.20,26.70,0.98,0.28,2.77,10.10,114.80,105.40,26.11,19.59
Adam Mokoka,Chi,G,22.83,14.00,4.00,8.40,18.90,20.50,1.00,0.07,0.00,0.00,9.00,0.64,0.43,0.67,10.00,0.71,0.07,0.10,1.36,0.50,0.40,0.39,1.10,0.40,4.90,0.40,11.90,0.14,0.07,0.36,5.60,72.90,107.50,-2.15,-1.61
Malik Monk,Cha,G,23.28,42.00,20.90,43.60,23.80,11.30,72.00,1.71,1.40,0.82,187.00,4.45,2.10,0.47,212.00,5.05,2.02,0.40,9.50,4.12,0.54,0.57,11.70,2.40,6.20,2.10,15.70,0.45,0.10,1.31,7.40,107.60,112.50,17.13,12.85
