NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,Tor%,FTAT,FTA,FTM,FT%,2PAT,2PA,2PM,2P%,3PAT,3PA,3PM,3P%,FGA,FGM,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TO,VI,ORTG,DRTG,PER_n,PER
Royce O'Neale,Uta,F,27.95,71.00,31.60,65.70,9.60,16.70,46.00,0.65,0.55,0.85,116.00,1.63,0.96,0.59,278.00,3.92,1.51,0.39,5.55,2.46,0.58,0.60,7.00,6.80,11.50,2.50,10.40,0.80,0.45,1.17,6.20,120.00,102.10,12.54,9.40
Miye Oni,Uta,G-F,23.78,54.00,9.60,20.00,9.80,13.60,6.00,0.11,0.09,0.83,11.00,0.20,0.09,0.46,88.00,1.63,0.56,0.34,1.83,0.65,0.51,0.52,1.90,1.60,8.60,0.50,6.80,0.20,0.15,0.30,4.80,109.70,100.00,6.44,4.83
Cedi Osman,Cle,F,26.11,59.00,25.60,53.30,20.40,11.30,95.00,1.61,1.29,0.80,262.00,4.44,2.03,0.46,324.00,5.49,1.68,0.31,9.93,3.71,0.46,0.49,10.40,3.40,7.40,2.90,17.70,0.90,0.15,1.36,7.30,100.20,110.00,13.30,9.97
Daniel Oturu,Lac,C,21.66,30.00,5.40,11.20,18.30,13.60,12.00,0.40,0.30,0.75,47.00,1.57,0.70,0.45,5.00,0.17,0.03,0.20,1.73,0.73,0.43,0.47,1.80,1.60,16.80,0.30,8.50,0.17,0.23,0.30,7.10,105.50,97.10,9.64,7.23
Kelly Oubre Jr.,Gol,F-G,25.44,55.00,30.70,63.90,22.10,8.00,177.00,3.22,2.24,0.70,439.00,7.98,4.14,0.52,285.00,5.18,1.64,0.32,13.16,5.78,0.50,0.53,15.40,6.00,10.40,1.30,6.50,1.04,0.76,1.27,6.40,103.30,106.80,17.61,13.21
Jabari Parker,Sac,F,26.17,3.00,9.10,19.00,15.80,30.00,0.00,0.00,0.00,0.00,6.00,2.00,1.33,0.67,1.00,0.33,0.00,0.00,2.33,1.33,0.57,0.57,2.70,2.00,12.20,0.30,5.00,0.00,0.33,1.00,5.20,82.70,105.60,6.14,4.61
Jabari Parker,Bos,F,26.17,10.00,13.80,28.80,18.90,11.50,13.00,1.30,1.00,0.77,38.00,3.80,2.40,0.63,10.00,1.00,0.20,0.20,4.80,2.60,0.56,0.60,6.40,3.60,14.50,1.00,10.80,0.10,0.40,0.70,8.20,117.60,109.70,18.37,13.78
Eric Paschall,Gol,F,24.53,40.00,17.40,36.20,23.50,11.20,94.00,2.35,1.68,0.71,244.00,6.10,3.25,0.53,54.00,1.35,0.45,0.33,7.45,3.70,0.53,0.56,9.50,3.20,9.80,1.30,11.40,0.30,0.18,1.08,7.80,105.60,105.10,17.66,13.25
Anzejs Pasecniks,Was,C-F,25.41,1.00,6.30,13.10,39.40,83.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,8.40,1.00,17.80,0.00,0.00,5.00,0.00,20.70,88.80,-45.32,-33.99
Patrick Patterson,Lac,F,32.18,38.00,15.30,31.90,14.00,6.00,17.00,0.45,0.34,0.77,53.00,1.39,0.84,0.60,112.00,2.95,1.05,0.36,4.34,1.89,0.56,0.57,5.20,2.00,7.30,0.80,6.70,0.37,0.21,0.29,5.30,118.50,107.70,12.19,9.14
Justin Patton,Hou,C,23.92,13.00,19.00,39.50,13.10,5.30,4.00,0.31,0.23,0.75,36.00,2.77,1.54,0.56,34.00,2.62,0.69,0.27,5.38,2.23,0.48,0.49,5.40,3.80,10.60,1.10,8.10,0.92,1.08,0.31,5.90,108.00,102.80,14.65,10.99
Chris Paul,Pho,G,36.03,70.00,31.40,65.50,22.60,14.00,181.00,2.59,2.42,0.93,621.00,8.87,4.82,0.54,258.00,3.69,1.46,0.40,12.56,6.27,0.56,0.60,16.40,4.40,8.00,8.90,40.80,1.43,0.26,2.23,11.00,123.70,106.00,26.06,19.55
Cameron Payne,Pho,G,26.77,60.00,18.00,37.50,19.80,12.50,56.00,0.93,0.83,0.89,229.00,3.82,1.97,0.52,166.00,2.77,1.22,0.44,6.58,3.18,0.58,0.60,8.40,2.40,7.60,3.60,28.10,0.60,0.27,1.00,9.30,121.30,105.50,20.78,15.59
Gary Payton II,Gol,G,28.46,10.00,4.00,8.40,16.70,6.30,4.00,0.40,0.30,0.75,9.00,0.90,0.80,0.89,4.00,0.40,0.20,0.50,1.30,1.00,0.85,0.85,2.50,1.10,14.50,0.10,4.00,0.60,0.10,0.10,6.50,152.60,83.70,30.41,22.81
Elfrid Payton,Nyk,G,27.23,63.00,23.60,49.10,23.20,13.30,107.00,1.70,1.16,0.68,524.00,8.32,3.83,0.46,98.00,1.56,0.44,0.29,9.87,4.27,0.46,0.48,10.10,3.40,7.90,3.20,21.60,0.75,0.14,1.63,8.10,98.90,104.60,13.79,10.34
Norvel Pelle,Bro,C,28.28,3.00,9.30,19.30,15.70,30.00,0.00,0.00,0.00,0.00,7.00,2.33,1.00,0.43,0.00,0.00,0.00,0.00,2.33,1.00,0.43,0.43,2.00,2.30,13.90,0.00,0.00,0.00,1.00,1.00,0.00,75.80,83.20,3.96,2.97
Norvel Pelle,Sac,C,28.28,1.00,3.80,7.90,31.30,0.00,4.00,4.00,3.00,0.75,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.54,3.00,1.00,14.60,1.00,29.70,0.00,0.00,0.00,15.20,,,27.48,20.61
Norvel Pelle,Nyk,C,28.28,9.00,5.80,12.00,6.80,0.00,2.00,0.22,0.11,0.50,7.00,0.78,0.56,0.71,0.00,0.00,0.00,0.00,0.78,0.56,0.71,0.70,1.20,1.20,11.50,0.10,2.70,0.11,0.67,0.00,3.60,149.80,103.10,12.18,9.13
Reggie Perry,Bro,F-C,21.15,26.00,8.10,16.90,20.40,15.20,13.00,0.50,0.38,0.77,57.00,2.19,1.08,0.49,21.00,0.81,0.15,0.19,3.00,1.23,0.44,0.47,3.00,2.80,19.10,0.50,9.00,0.23,0.23,0.58,8.00,100.30,94.20,11.91,8.93
Theo Pinson,Nyk,G-F,25.53,17.00,2.00,4.20,13.10,10.00,0.00,0.00,0.00,0.00,1.00,0.06,0.06,1.00,8.00,0.47,0.00,0.00,0.53,0.06,0.11,0.11,0.10,0.30,8.00,0.10,3.70,0.00,0.00,0.06,2.90,,,-20.20,-15.15
Mason Plumlee,Det,F-C,31.20,56.00,26.80,55.80,16.30,18.80,169.00,3.02,2.02,0.67,373.00,6.66,4.18,0.63,7.00,0.13,0.00,0.00,6.79,4.18,0.62,0.64,10.40,9.30,19.30,3.60,21.00,0.77,0.89,1.88,10.50,122.20,99.70,22.62,16.97
Jakob Poeltl,San,C,25.59,69.00,26.70,55.70,13.40,14.80,124.00,1.80,0.91,0.51,430.00,6.23,3.84,0.62,0.00,0.00,0.00,0.00,6.23,3.84,0.62,0.61,8.60,7.90,15.80,1.90,10.10,0.68,1.78,1.22,7.60,123.10,105.30,19.15,14.36
Vincent Poirier,Phi,C-F,27.58,10.00,3.90,8.10,19.40,17.00,6.00,0.60,0.20,0.33,11.00,1.10,0.30,0.27,1.00,0.10,0.00,0.00,1.20,0.30,0.25,0.27,0.80,1.30,18.30,0.20,6.60,0.00,0.30,0.30,6.10,,,-2.66,-1.99
Aleksej Pokusevski,Okc,C,19.39,45.00,24.20,50.50,20.50,18.80,42.00,0.93,0.69,0.74,201.00,4.47,1.80,0.40,207.00,4.60,1.29,0.28,9.07,3.09,0.41,0.43,8.20,4.70,10.20,2.20,13.10,0.44,0.93,2.20,7.30,81.00,111.70,8.87,6.65
Jordan Poole,Gol,G,21.91,51.00,19.40,40.40,25.00,8.80,119.00,2.33,2.06,0.88,198.00,3.88,2.12,0.55,276.00,5.41,1.90,0.35,9.29,4.02,0.54,0.58,12.00,1.80,5.00,1.90,15.40,0.51,0.18,1.00,7.10,111.20,107.70,19.60,14.70
Kevin Porter Jr.,Hou,G-F,21.03,26.00,32.10,66.90,25.40,18.20,94.00,3.62,2.65,0.73,206.00,7.92,4.08,0.52,161.00,6.19,1.93,0.31,14.12,6.01,0.49,0.53,16.60,3.80,6.30,6.30,31.20,0.73,0.31,3.50,9.20,100.70,112.80,16.69,12.52
Michael Porter Jr.,Den,F,22.88,61.00,31.30,65.30,21.80,8.20,134.00,2.20,1.74,0.79,435.00,7.13,4.48,0.63,382.00,6.26,2.79,0.45,13.39,7.27,0.65,0.66,19.00,7.30,13.20,1.10,5.60,0.66,0.89,1.28,6.80,124.60,108.50,24.61,18.46
Otto Porter Jr.,Chi,F,27.95,25.00,21.60,45.00,19.50,10.30,37.00,1.48,1.24,0.84,107.00,4.28,2.04,0.48,95.00,3.80,1.52,0.40,8.08,3.56,0.54,0.57,9.90,5.50,14.20,2.00,13.10,0.48,0.16,1.00,8.80,113.60,107.60,18.44,13.83
Otto Porter Jr.,Orl,F,27.95,3.00,22.20,46.20,17.70,0.00,5.00,1.67,1.67,1.00,16.00,5.33,2.67,0.50,9.00,3.00,0.33,0.11,8.33,3.00,0.38,0.44,8.00,4.70,10.90,1.70,11.40,1.33,0.00,0.00,7.20,101.20,107.20,15.60,11.70
Jontay Porter,Mem,C-F,21.50,11.00,4.90,10.20,18.90,28.90,5.00,0.45,0.27,0.60,7.00,0.64,0.45,0.71,8.00,0.73,0.27,0.38,1.36,0.73,0.63,0.64,2.00,1.30,13.70,0.10,2.50,0.27,0.09,0.64,5.20,92.20,88.50,8.79,6.59
Bobby Portis,Mil,F,26.26,66.00,20.80,43.30,21.00,8.10,73.00,1.11,0.82,0.74,442.00,6.70,3.62,0.54,157.00,2.38,1.12,0.47,9.08,4.74,0.58,0.60,11.40,7.10,17.90,1.10,7.40,0.79,0.39,0.85,8.60,120.00,103.00,24.25,18.18
Kristaps Porzingis,Dal,F-C,25.79,43.00,30.90,64.30,26.50,6.40,138.00,3.21,2.74,0.86,425.00,9.88,5.30,0.54,258.00,6.00,2.26,0.38,15.88,7.55,0.55,0.58,20.10,8.90,15.80,1.60,8.40,0.47,1.35,1.19,8.50,116.70,105.30,25.71,19.28
Dwight Powell,Dal,F-C,29.83,58.00,16.60,34.70,13.20,13.90,124.00,2.14,1.67,0.78,173.00,2.98,1.98,0.67,21.00,0.36,0.09,0.24,3.34,2.07,0.63,0.69,5.90,4.10,13.50,1.10,8.90,0.60,0.52,0.69,7.20,135.60,99.80,18.87,14.15
Norman Powell,Tor,G,27.98,42.00,30.40,63.40,24.20,10.80,163.00,3.88,3.36,0.87,297.00,7.07,3.90,0.55,269.00,6.40,2.81,0.44,13.48,6.72,0.60,0.65,19.60,3.00,5.40,1.80,10.00,1.12,0.19,1.83,6.20,117.10,110.50,22.02,16.51
Norman Powell,Por,G,27.98,27.00,34.40,71.60,20.50,9.70,108.00,4.00,3.52,0.88,205.00,7.59,3.81,0.50,147.00,5.44,1.97,0.36,13.04,5.78,0.52,0.58,17.00,3.30,5.10,1.90,8.10,1.30,0.37,1.59,5.50,113.40,113.60,16.68,12.51
Taurean Prince,Bro,F,27.15,12.00,18.20,37.80,19.40,11.40,27.00,2.25,2.00,0.89,37.00,3.08,1.42,0.46,37.00,3.08,1.08,0.35,6.17,2.50,0.49,0.57,8.10,2.80,8.60,0.60,4.30,0.67,0.67,0.92,5.20,105.00,106.00,15.28,11.46
Taurean Prince,Cle,G,27.15,29.00,23.70,49.40,19.70,11.60,49.00,1.69,1.41,0.84,135.00,4.66,1.79,0.39,118.00,4.07,1.69,0.42,8.72,3.48,0.50,0.53,10.10,3.70,8.80,2.40,15.40,0.69,0.52,1.24,7.60,105.60,109.70,15.40,11.55
Payton Pritchard,Bos,G,23.30,66.00,19.20,40.00,16.70,10.80,45.00,0.68,0.61,0.89,170.00,2.58,1.24,0.48,248.00,3.76,1.54,0.41,6.33,2.79,0.56,0.58,7.70,2.40,6.90,1.80,13.30,0.56,0.14,0.80,6.70,116.30,109.10,14.69,11.02
Immanuel Quickley,Nyk,G,21.92,64.00,19.40,40.50,25.60,8.10,174.00,2.72,2.42,0.89,277.00,4.33,1.74,0.40,303.00,4.73,1.84,0.39,9.06,3.58,0.50,0.56,11.40,2.10,6.00,2.00,16.20,0.47,0.19,0.91,7.50,113.40,103.90,18.64,13.98
Jahmi'us Ramsey,Sac,G,19.94,13.00,7.30,15.10,19.70,6.90,5.00,0.38,0.38,1.00,19.00,1.46,0.77,0.53,19.00,1.46,0.38,0.26,2.92,1.15,0.46,0.50,3.10,0.80,5.90,0.50,8.70,0.31,0.08,0.23,5.90,102.00,112.70,10.47,7.85
Chasson Randle,Orl,G,28.28,41.00,20.40,42.50,15.70,15.10,48.00,1.17,0.93,0.79,107.00,2.61,1.17,0.45,130.00,3.17,1.07,0.34,5.78,2.24,0.48,0.52,6.50,2.00,5.10,1.80,12.90,0.56,0.12,1.12,5.60,97.80,110.70,9.61,7.21
Julius Randle,Nyk,F-C,26.46,71.00,37.60,78.20,29.30,13.70,429.00,6.04,4.90,0.81,933.00,13.14,6.23,0.47,389.00,5.48,2.25,0.41,18.62,8.48,0.52,0.57,24.10,10.20,14.70,6.00,27.20,0.90,0.25,3.38,12.10,110.90,100.30,24.84,18.63
Cam Reddish,Atl,F-G,21.71,26.00,28.90,60.10,19.30,10.20,82.00,3.15,2.58,0.82,137.00,5.27,2.42,0.46,126.00,4.85,1.27,0.26,10.12,3.69,0.43,0.49,11.20,4.00,7.60,1.30,6.50,1.27,0.35,1.31,5.40,99.10,106.20,12.22,9.16
JJ Redick,Nor,G,36.89,31.00,18.60,38.80,18.90,9.60,47.00,1.52,1.45,0.96,74.00,2.39,1.16,0.49,140.00,4.52,1.64,0.36,6.90,2.80,0.53,0.58,8.70,1.70,4.90,1.30,9.50,0.29,0.06,0.81,5.80,112.50,112.10,13.74,10.31
JJ Redick,Dal,G,36.89,13.00,11.30,23.50,19.90,16.60,5.00,0.38,0.31,0.80,15.00,1.15,0.31,0.27,38.00,2.92,1.15,0.40,4.08,1.46,0.50,0.52,4.40,0.90,4.50,0.80,10.30,0.15,0.08,0.85,5.20,93.20,109.60,6.66,4.99
Paul Reed,Phi,F,21.92,26.00,6.80,14.20,22.70,12.80,8.00,0.31,0.15,0.50,72.00,2.77,1.61,0.58,6.00,0.23,0.00,0.00,3.00,1.61,0.54,0.54,3.40,2.30,18.90,0.50,10.90,0.38,0.50,0.46,9.30,110.70,91.80,20.43,15.32
Naz Reid,Min,C-F,21.72,70.00,19.20,40.10,22.50,9.50,166.00,2.37,1.64,0.69,407.00,5.81,3.47,0.60,174.00,2.49,0.87,0.35,8.30,4.34,0.58,0.60,11.20,4.60,12.90,1.00,8.70,0.49,1.07,0.99,7.80,114.30,104.20,23.17,17.38
Cameron Reynolds,San,F,26.27,3.00,2.10,4.30,14.00,0.00,0.00,0.00,0.00,0.00,2.00,0.67,0.33,0.50,0.00,0.00,0.00,0.00,0.67,0.33,0.50,0.50,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,-8.77,-6.58
Cameron Reynolds,Hou,F,26.27,2.00,17.20,35.70,19.80,0.00,0.00,0.00,0.00,0.00,4.00,2.00,1.00,0.50,12.00,6.00,1.50,0.25,8.00,2.50,0.41,0.41,6.50,2.50,7.80,1.00,8.70,0.00,0.00,0.00,5.90,95.00,116.00,7.78,5.84
Nick Richards,Cha,C,23.46,18.00,3.50,7.20,11.60,17.80,11.00,0.61,0.39,0.64,8.00,0.44,0.22,0.50,1.00,0.06,0.00,0.00,0.50,0.22,0.44,0.54,0.80,0.60,9.50,0.10,4.20,0.00,0.00,0.17,4.20,,,-1.21,-0.91
Josh Richardson,Dal,G,27.67,59.00,30.30,63.20,18.40,10.60,108.00,1.83,1.68,0.92,351.00,5.95,2.98,0.50,267.00,4.53,1.49,0.33,10.47,4.47,0.50,0.54,12.10,3.30,6.00,2.60,12.10,1.03,0.41,1.34,6.20,108.60,109.90,14.25,10.69
Grant Riller,Cha,G,24.27,7.00,3.90,8.10,20.60,7.70,0.00,0.00,0.00,0.00,8.00,1.14,0.86,0.75,4.00,0.57,0.29,0.50,1.71,1.14,0.75,0.75,2.60,0.10,2.00,0.40,20.60,0.14,0.00,0.14,4.80,,,18.64,13.98
Austin Rivers,Nyk,G,28.79,21.00,21.10,43.90,16.50,13.50,14.00,0.67,0.48,0.71,58.00,2.76,1.43,0.52,77.00,3.67,1.33,0.36,6.43,2.76,0.53,0.55,7.30,2.20,5.80,2.00,13.90,0.57,0.00,1.05,6.00,105.20,105.80,11.38,8.54
Austin Rivers,Den,G,28.79,15.00,26.90,56.00,14.20,10.60,17.00,1.13,0.80,0.71,38.00,2.53,1.27,0.50,72.00,4.80,1.80,0.38,7.33,3.07,0.54,0.56,8.70,2.30,4.90,2.60,12.50,1.20,0.13,0.93,5.60,112.70,108.20,12.93,9.70
Andre Roberson,Bro,G-F,29.45,5.00,12.60,26.20,11.70,11.80,2.00,0.40,0.20,0.50,6.00,1.20,0.20,0.17,8.00,1.60,0.20,0.13,2.80,0.40,0.18,0.20,1.20,3.00,13.20,0.80,7.40,0.60,0.20,0.40,4.50,78.50,109.50,2.85,2.14
Glenn Robinson III,Sac,F,27.35,23.00,16.10,33.50,14.00,9.20,23.00,1.00,0.91,0.91,55.00,2.39,1.13,0.47,44.00,1.91,0.70,0.36,4.30,1.83,0.51,0.55,5.30,2.00,6.80,0.90,7.00,0.17,0.13,0.48,5.30,112.10,116.80,10.41,7.81
Duncan Robinson,Mia,F,27.07,72.00,31.40,65.40,16.60,9.70,75.00,1.04,0.86,0.83,104.00,1.44,0.90,0.63,613.00,8.51,3.47,0.41,9.96,4.38,0.61,0.63,13.10,3.50,6.30,1.80,8.30,0.60,0.28,1.13,5.50,112.80,107.40,14.76,11.07
Jerome Robinson,Was,G,24.23,17.00,17.90,37.40,16.70,15.50,20.00,1.18,0.94,0.80,53.00,3.12,1.00,0.32,42.00,2.47,0.65,0.26,5.59,1.65,0.35,0.40,4.90,2.20,6.60,1.50,10.20,0.71,0.35,1.12,5.70,80.30,106.00,6.66,4.99
Justin Robinson,Okc,G,23.60,9.00,9.80,20.30,12.20,7.90,5.00,0.56,0.33,0.60,7.00,0.78,0.33,0.43,14.00,1.56,0.44,0.29,2.33,0.78,0.43,0.45,2.30,0.80,4.10,1.00,14.10,0.33,0.00,0.22,5.00,102.00,106.80,6.61,4.95
Mitchell Robinson,Nyk,C-F,23.13,31.00,27.50,57.30,11.80,11.50,53.00,1.71,0.84,0.49,176.00,5.68,3.71,0.65,0.00,0.00,0.00,0.00,5.68,3.71,0.65,0.64,8.30,8.10,16.00,0.50,2.90,1.13,1.45,0.84,4.70,130.50,99.50,18.23,13.67
Isaiah Roby,Okc,F,23.28,61.00,23.40,48.70,17.70,19.00,117.00,1.92,1.43,0.74,320.00,5.25,2.87,0.55,109.00,1.79,0.53,0.29,7.03,3.39,0.52,0.56,8.70,5.60,12.40,1.80,11.40,0.85,0.61,1.85,7.60,101.40,103.80,15.29,11.47
Rajon Rondo,Atl,G,35.23,27.00,14.90,31.00,16.20,26.00,2.00,0.07,0.04,0.50,65.00,2.41,1.00,0.42,45.00,1.67,0.63,0.38,4.07,1.63,0.48,0.48,3.90,2.00,7.50,3.50,32.20,0.70,0.07,1.44,8.10,97.50,108.60,11.61,8.71
Rajon Rondo,Lac,G,35.23,18.00,20.40,42.60,18.30,26.40,15.00,0.83,0.83,1.00,61.00,3.39,1.78,0.53,44.00,2.44,1.06,0.43,5.83,2.84,0.58,0.61,7.60,3.10,8.40,5.80,38.60,0.94,0.11,2.22,10.10,118.00,105.90,19.22,14.41
Derrick Rose,Det,G,32.61,15.00,22.80,47.40,30.10,12.30,50.00,3.33,2.80,0.84,145.00,9.67,4.40,0.46,39.00,2.60,0.87,0.33,12.27,5.26,0.47,0.52,14.20,1.90,4.70,4.20,32.50,1.20,0.27,1.93,8.50,103.80,111.40,20.56,15.42
Derrick Rose,Nyk,G,32.61,35.00,26.80,55.80,24.30,9.60,77.00,2.20,1.94,0.88,337.00,9.63,4.88,0.51,90.00,2.57,1.06,0.41,12.20,5.94,0.53,0.57,14.90,2.90,5.80,4.20,26.30,0.89,0.43,1.40,8.50,115.10,109.00,21.33,16.00
Terrence Ross,Orl,G-F,30.28,46.00,29.30,61.00,24.10,9.70,138.00,3.00,2.61,0.87,352.00,7.65,3.59,0.47,264.00,5.74,1.93,0.34,13.39,5.52,0.49,0.53,15.60,3.40,6.10,2.40,13.40,1.02,0.46,1.59,6.90,103.00,111.00,16.85,12.64
Terry Rozier,Cha,G,27.17,69.00,34.50,72.00,24.40,9.50,202.00,2.93,2.39,0.82,562.00,8.14,4.17,0.51,571.00,8.28,3.22,0.39,16.42,7.39,0.55,0.58,20.40,4.40,6.90,4.20,20.00,1.25,0.38,1.87,8.40,113.30,111.80,21.48,16.11
Ricky Rubio,Min,G,30.57,68.00,26.10,54.30,16.00,16.40,150.00,2.21,1.91,0.87,284.00,4.18,1.87,0.45,214.00,3.15,0.97,0.31,7.32,2.84,0.45,0.52,8.60,3.30,6.80,6.40,33.30,1.46,0.06,1.63,8.70,113.10,110.10,17.51,13.13
D'Angelo Russell,Min,G,25.23,42.00,28.50,59.30,29.10,13.50,149.00,3.55,2.71,0.77,342.00,8.14,3.84,0.47,310.00,7.38,2.86,0.39,15.52,6.69,0.52,0.56,19.00,2.60,5.00,5.80,33.70,1.07,0.43,2.67,9.30,108.00,114.40,22.57,16.93
Domantas Sabonis,Ind,F-C,25.04,62.00,36.00,75.00,24.10,16.90,328.00,5.29,3.87,0.73,742.00,11.97,6.97,0.58,162.00,2.61,0.84,0.32,14.58,7.80,0.56,0.60,20.30,12.00,18.00,6.70,27.50,1.23,0.53,3.44,13.10,115.10,103.70,26.98,20.24
Luka Samanic,San,F,21.35,33.00,9.30,19.50,19.40,14.50,29.00,0.88,0.49,0.55,62.00,1.88,1.06,0.57,43.00,1.30,0.36,0.28,3.18,1.43,0.51,0.52,3.70,2.10,11.70,0.50,6.90,0.24,0.24,0.61,6.80,96.40,100.60,11.54,8.65
JaKarr Sampson,Ind,F,28.16,29.00,10.90,22.70,18.90,10.70,29.00,1.00,0.66,0.66,98.00,3.38,1.83,0.54,15.00,0.52,0.10,0.20,3.90,1.93,0.51,0.53,4.60,2.70,13.20,0.10,1.80,0.07,0.48,0.52,3.90,103.70,100.50,13.11,9.83
Dario Saric,Pho,F-C,27.11,50.00,17.40,36.30,22.60,12.90,99.00,1.98,1.68,0.85,207.00,4.14,2.12,0.51,135.00,2.70,0.94,0.35,6.84,3.06,0.52,0.57,8.70,3.80,12.40,1.30,10.40,0.60,0.08,1.14,8.10,109.00,101.90,17.62,13.21
Tomas Satoransky,Chi,G,29.55,58.00,22.50,46.90,15.20,20.90,79.00,1.36,1.16,0.85,210.00,3.62,2.19,0.61,118.00,2.03,0.72,0.36,5.66,2.91,0.58,0.62,7.70,2.40,6.00,4.70,27.90,0.69,0.24,1.66,7.90,118.40,109.90,16.47,12.35
Dennis Schroder,Lal,G,27.67,61.00,32.10,66.80,22.90,15.80,243.00,3.98,3.38,0.85,548.00,8.98,4.28,0.48,212.00,3.48,1.16,0.34,12.46,5.44,0.48,0.54,15.40,3.50,6.00,5.80,26.90,1.16,0.21,2.67,8.50,107.10,102.70,17.80,13.35
Mike Scott,Phi,F,32.83,51.00,16.70,34.80,11.90,8.10,12.00,0.24,0.16,0.67,56.00,1.10,0.45,0.41,155.00,3.04,1.04,0.34,4.14,1.49,0.49,0.49,4.20,2.40,7.80,0.80,6.10,0.47,0.27,0.37,4.80,101.00,103.50,8.84,6.63
Jay Scrubb,Lac,G,20.71,4.00,21.10,43.90,23.80,15.50,5.00,1.25,1.25,1.00,27.00,6.75,3.00,0.44,9.00,2.25,0.50,0.22,9.00,3.50,0.42,0.46,8.80,3.50,9.30,0.30,1.70,1.00,0.00,1.75,4.00,81.60,107.00,8.71,6.54
Collin Sexton,Cle,G,22.36,60.00,35.30,73.40,29.70,11.60,383.00,6.38,5.20,0.82,841.00,14.02,7.12,0.51,264.00,4.40,1.63,0.37,18.42,8.75,0.52,0.57,24.30,3.10,4.90,4.40,22.60,1.05,0.17,2.78,7.80,110.70,112.10,22.08,16.56
Landry Shamet,Bro,G,24.18,61.00,23.00,47.90,16.70,8.90,78.00,1.28,1.08,0.85,123.00,2.02,0.93,0.46,333.00,5.46,2.11,0.39,7.48,3.05,0.55,0.58,9.30,1.80,4.40,1.60,9.30,0.52,0.16,0.79,5.20,112.50,112.30,12.95,9.71
Iman Shumpert,Bro,G,30.89,2.00,5.50,11.50,19.80,20.00,0.00,0.00,0.00,0.00,1.00,0.50,0.50,1.00,3.00,1.50,0.00,0.00,2.00,0.50,0.25,0.25,1.00,0.50,5.00,0.00,0.00,0.50,0.00,0.50,0.00,55.90,117.40,-7.01,-5.26
Pascal Siakam,Tor,F,27.12,56.00,35.80,74.60,26.40,10.60,301.00,5.38,4.45,0.83,715.00,12.77,6.50,0.51,246.00,4.39,1.30,0.30,17.16,7.80,0.49,0.55,21.40,7.20,11.10,4.50,20.50,1.14,0.68,2.32,9.90,110.60,107.40,22.57,16.93
Chris Silva,Mia,F,24.66,11.00,7.50,15.70,15.60,31.50,15.00,1.36,1.00,0.73,12.00,1.09,0.73,0.67,1.00,0.09,0.09,1.00,1.18,0.82,0.73,0.77,2.70,2.30,17.30,0.50,10.30,0.09,0.45,0.82,7.80,116.90,86.10,15.16,11.37
Chris Silva,Sac,F,24.66,4.00,2.40,4.90,18.10,25.00,0.00,0.00,0.00,0.00,3.00,0.75,0.25,0.33,0.00,0.00,0.00,0.00,0.75,0.25,0.33,0.33,0.50,0.50,11.70,0.00,0.00,0.00,0.25,0.25,0.00,,,-10.24,-7.68
Ben Simmons,Phi,G-F,24.82,58.00,32.40,67.40,20.20,19.60,287.00,4.95,3.03,0.61,573.00,9.88,5.55,0.56,10.00,0.17,0.05,0.30,10.05,5.60,0.56,0.58,14.30,7.20,12.20,6.90,31.30,1.60,0.60,2.98,11.00,114.00,100.20,22.53,16.90
Anfernee Simons,Por,G,21.94,64.00,17.30,36.00,18.30,9.20,57.00,0.89,0.72,0.81,120.00,1.88,0.75,0.40,281.00,4.39,1.87,0.43,6.27,2.62,0.57,0.59,7.80,2.20,6.80,1.40,11.40,0.28,0.13,0.67,6.70,116.50,111.50,14.93,11.19
Deividas Sirvydis,Det,F-G,20.93,20.00,6.70,13.90,15.60,10.50,6.00,0.30,0.15,0.50,12.00,0.60,0.20,0.33,28.00,1.40,0.50,0.36,2.00,0.70,0.48,0.48,2.10,1.50,12.10,0.30,5.40,0.10,0.00,0.25,5.90,90.00,107.70,6.14,4.60
Alen Smailagic,Gol,F,20.74,15.00,5.60,11.60,17.70,14.40,6.00,0.40,0.13,0.33,17.00,1.13,0.47,0.41,10.00,0.67,0.27,0.40,1.80,0.73,0.48,0.47,1.90,1.10,10.20,0.30,6.60,0.20,0.33,0.33,6.10,92.00,100.90,7.68,5.76
Marcus Smart,Bos,G,27.20,48.00,32.90,68.60,18.40,14.20,162.00,3.38,2.67,0.79,228.00,4.75,2.29,0.48,282.00,5.88,1.94,0.33,10.63,4.23,0.49,0.54,13.10,3.50,5.90,5.70,23.60,1.50,0.50,2.00,7.80,113.20,108.70,16.98,12.74
Dennis Smith Jr.,Nyk,G,23.47,3.00,9.20,19.20,22.00,7.30,6.00,2.00,1.67,0.83,6.00,2.00,0.67,0.33,4.00,1.33,0.00,0.00,3.33,0.67,0.20,0.36,3.00,0.70,3.90,1.00,14.60,1.00,0.00,0.33,5.60,83.50,92.90,8.32,6.24
