NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PAT,2PA,2P%,2PM,3PAT,3PA,3P%,3PM,FGA,FGM,FG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI,FTM,PER_n,PER,eFG%
Tibor Pleiss,Uta,C,26,12,6.8,14.2,19.2,0.236,2,1,23,1.916666667,0.478,0.916166667,2,0.166666667,0,0,2.083333333,0.916166667,0.43976,0.464,2,1.3,10.7,0.2,4,0.08,0.17,4.7,0.166666667,7.620428984,5.715321738,0.43976
Tim Duncan,San,C,39,61,25.2,52.5,17.5,0.153,131,0.702,439,7.196721311,0.49,3.526393443,2,0.032786885,0,0,7.229508197,3.526393443,0.487777778,0.523,8.6,7.3,16.6,2.7,15.3,0.77,1.28,8.8,1.50757377,21.03454491,15.77590868,0.487777778
Tim Frazier,Por,PG,25,35,7.8,16.2,15,0.288,15,0.533,43,1.228571429,0.395,0.485285714,17,0.485714286,0.176,0.085485714,1.714285714,0.570771429,0.33295,0.383,1.5,1.1,7.8,1.2,21.3,0.29,0.03,6.4,0.228428571,8.069426791,6.052070093,0.357883334
Tim Frazier,Nor,PG,25,16,29.3,61.1,22,0.163,59,0.763,138,8.625,0.457,3.941625,31,1.9375,0.419,0.8118125,10.5625,4.7534375,0.450029586,0.539,13.1,4.4,8.4,7.5,40.3,1.44,0.06,10.3,2.8135625,25.2929829,18.96973718,0.48845858
Tim Hardaway Jr.,Atl,SG,23,51,16.9,35.3,16.2,0.074,56,0.893,123,2.411764706,0.537,1.295117647,142,2.784313725,0.338,0.941098039,5.196078431,2.236215686,0.430366038,0.563,6.4,1.7,5.4,1,8.9,0.41,0.14,5.2,0.98054902,13.78717729,10.34038297,0.520924528
Timofey Mozgov,Cle,C,29,76,17.4,36.3,16.1,0.15,95,0.716,352,4.631578947,0.574,2.658526316,7,0.092105263,0.143,0.013171053,4.723684211,2.671697368,0.5655961,0.593,6.3,4.4,14.4,0.4,3.9,0.29,0.75,5.1,0.895,17.61841761,13.21381321,0.566990251
TJ McConnell,Phi,PG,23,81,19.8,41.3,17,0.225,41,0.634,375,4.62962963,0.499,2.310185185,89,1.098765432,0.348,0.38237037,5.728395062,2.692555556,0.470036638,0.511,6.1,3.1,8.5,4.5,37.2,1.17,0.12,8.9,0.32091358,20.29851455,15.22388592,0.503411638
TJ Warren,Pho,SF,22,47,22.8,47.4,19.9,0.064,64,0.703,371,7.893617021,0.52,4.104680851,70,1.489361702,0.4,0.595744681,9.382978723,4.700425532,0.500952381,0.549,11,3.1,7.5,0.9,7.2,0.79,0.34,5.5,0.957276596,17.93561019,13.45170764,0.532698413
Tobias Harris,Orl,PF,23,49,32.9,68.5,18.9,0.114,153,0.784,390,7.959183673,0.523,4.162653061,151,3.081632653,0.311,0.958387755,11.04081633,5.121040816,0.463828096,0.55,13.7,7,11.8,2,9.3,0.96,0.57,7,2.448,18.97437518,14.23078139,0.507230129
Tobias Harris,Det,PF,23,27,33.5,69.7,20.2,0.072,90,0.911,261,9.666666667,0.51,4.93,87,3.222222222,0.379,1.221222222,12.88888889,6.151222222,0.47725,0.577,16.6,6.2,10.1,2.6,12.9,0.67,0.44,7.7,3.036666667,21.24416572,15.93312429,0.524625
