NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PAT,2PA,2P%,2PM,3PAT,3PA,3P%,3PM,FGA,FGM,FG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI,FTM,PER_n,PER,eFG%
A.J. Price,Ind,PG,25,44,12.7,26.1,17.9,0.145,35,0.8,86,1.954545455,0.384,0.750545455,88,2,0.295,0.59,3.954545455,1.340545455,0.338988506,0.454,3.9,1.4,6.1,2,24.4,0.45,0.05,7,0.636363636,14.22308586,10.80954525,0.413586207
Aaron Gray,Tor,C,27,49,16.4,33.8,13.6,0.219,47,0.532,161,3.285714286,0.516,1.695428571,0,0,0,0,3.285714286,1.695428571,0.516,0.526,3.9,5.7,20.5,0.6,5.5,0.45,0.35,5.8,0.510285714,16.55869417,12.58460757,0.516
Al Harrington,Den,PF,31,64,27.3,56.2,24.5,0.116,176,0.676,470,7.34375,0.519,3.81140625,303,4.734375,0.333,1.576546875,12.078125,5.387953125,0.44609185,0.535,14.2,6.1,13,1.4,8.4,0.91,0.19,7.3,1.859,22.51304706,17.10991577,0.511356404
Al Horford,Atl,C,25,11,31.5,58.3,18,0.121,30,0.733,102,9.272727273,0.559,5.183454545,1,0.090909091,0,0,9.363636364,5.183454545,0.553572816,0.585,12.4,7,13.1,2.3,12.3,0.91,1.27,7.4,1.999090909,22.76087141,17.29826228,0.553572815
Al Jefferson,Uta,C,27,61,33.8,68.9,25.9,0.052,177,0.774,1044,17.1147541,0.493,8.43757377,4,0.06557377,0.25,0.016393443,17.18032787,8.453967213,0.492072519,0.52,19.2,9.6,16.3,2.2,12.3,0.77,1.66,8.8,2.245868852,26.62214465,20.23282993,0.492549618
Alan Anderson,Tor,SF,29,17,26.9,54.5,18.7,0.137,34,0.853,81,4.764705882,0.383,1.824882353,61,3.588235294,0.393,1.410176471,8.352941176,3.235058824,0.387295775,0.519,9.6,2,4.4,1.5,9.6,0.29,0.18,4.6,1.706,13.00986359,9.887496331,0.471707747
Alec Burks,Uta,SG,20,59,15.7,32,22.8,0.108,143,0.727,312,5.288135593,0.442,2.337355932,45,0.762711864,0.333,0.253983051,6.050847458,2.591338983,0.428260504,0.506,7.2,2.2,8.2,0.9,9.6,0.46,0.08,6.2,1.762050847,18.63891205,14.16557316,0.449247899
Al-Farouq Aminu,Nor,SF,21,66,22.2,45.9,16.3,0.18,114,0.754,317,4.803030303,0.429,2.0605,47,0.712121212,0.277,0.197257576,5.515151515,2.257757576,0.409373626,0.479,6,4.7,12.5,1,7.3,0.89,0.52,5.5,1.302363636,15.25670869,11.59509861,0.427256868
Alonzo Gee,Cle,SF,24,63,28.8,59.5,18.7,0.149,210,0.786,414,6.571428571,0.442,2.904571429,137,2.174603175,0.321,0.698047619,8.746031746,3.602619048,0.411914701,0.515,10.5,5.1,10.1,1.8,10.6,1.32,0.27,6.4,2.62,18.86077208,14.33418678,0.451821234
Amare Stoudemire,Nyk,PF,29,47,32.6,67.4,25.6,0.128,243,0.765,634,13.4893617,0.491,6.623276596,21,0.446808511,0.238,0.106340426,13.93617021,6.729617021,0.48288855,0.54,17.5,7.8,13.8,1.1,6.1,0.81,0.96,6.5,3.955212766,25.27039747,19.20550208,0.486703817
Anderson Varejao,Cle,C,29,25,31.1,63.5,17.1,0.152,64,0.672,218,8.72,0.523,4.56056,4,0.16,0,0,8.88,4.56056,0.513576577,0.542,10.8,11.5,21,1.8,10.1,1.4,0.68,7.8,1.72032,23.36209789,17.75519439,0.513576577
Andray Blatche,Was,PF,25,26,23.9,49.5,21.9,0.122,49,0.673,238,9.153846154,0.382,3.496769231,7,0.269230769,0.286,0.077,9.423076923,3.573769231,0.379257143,0.415,8.5,5.7,13.5,1.1,7.4,0.77,0.69,6.3,1.268346154,15.39197181,11.69789858,0.383342857
Andre Iguodala,Phi,SG,28,62,35.4,73.5,17.7,0.137,192,0.62,441,7.112903226,0.481,3.421306452,191,3.080645161,0.398,1.226096774,10.19354839,4.647403226,0.455916139,0.538,12.4,6.1,9.6,5.5,23.8,1.71,0.48,8.4,1.92,21.98462748,16.70831688,0.516056962
Andre Miller,Den,PG,35,66,27.2,56,20,0.22,169,0.811,469,7.106060606,0.478,3.39669697,83,1.257575758,0.217,0.272893939,8.363636364,3.669590909,0.438755435,0.51,9.7,3.3,7.2,6.7,36.9,0.95,0.14,8.8,2.076651515,22.56780924,17.15153502,0.455069746
