NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PAT,2PA,2P%,2PM,3PAT,3PA,3P%,3PM,FGA,FGM,FG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI,FTM,PER_n,PER,eFG%
Andrea Bargnani,Tor,C,26,31,33.1,67.9,28.9,0.11,173,0.873,369,11.90322581,0.474,5.642129032,115,3.709677419,0.296,1.098064516,15.61290323,6.740193548,0.431706612,0.538,19.5,5.5,9.8,1.9,11.5,0.58,0.48,7.1,4.871903226,24.67452988,18.75264271,0.466871901
Andrew Bogut,Mil,C,26,12,30.1,62.2,20.7,0.141,23,0.609,135,11.25,0.452,5.085,1,0.083333333,0,0,11.33333333,5.085,0.448676471,0.465,11.3,8.3,15.3,2.6,13.8,1,2,8.3,1.16725,21.45471185,16.30558101,0.448676471
Andrew Bynum,Lal,C,24,60,35,71.8,23.9,0.139,338,0.692,791,13.18333333,0.56,7.382666667,5,0.083333333,0.2,0.016666667,13.26666667,7.399333333,0.557738693,0.594,18.7,11.8,18.9,1.4,7.4,0.45,1.93,7.7,3.898266667,29.82812694,22.66937648,0.558366834
Andrew Goudelock,Lal,SG,23,40,10.3,20.9,22.4,0.105,12,0.917,99,2.475,0.404,0.9999,75,1.875,0.373,0.699375,4.35,1.699275,0.390637931,0.488,4.4,0.8,4.2,0.5,8.3,0.1,0,4.7,0.2751,10.19197946,7.745904387,0.471025862
Andris Biedrins,Gol,C,25,47,15.5,32.1,5.2,0.171,9,0.111,64,1.361702128,0.609,0.829276596,0,0,0,0,1.361702128,0.829276596,0.609,0.581,1.7,3.7,13.7,0.3,3,0.49,0.96,3.2,0.021255319,11.35450209,8.62942159,0.609
Antawn Jamison,Cle,PF,35,65,32.9,68,26.3,0.072,271,0.683,777,11.95384615,0.425,5.080384615,267,4.107692308,0.341,1.400723077,16.06153846,6.481107692,0.403517241,0.481,17.2,6.3,10.8,2,12,0.78,0.65,7.3,2.847584615,20.88814572,15.87499075,0.447122126
Anthony Morrow,Njn,SG,26,62,26.2,54.4,21.8,0.089,104,0.933,374,6.032258065,0.444,2.678322581,285,4.596774194,0.372,1.71,10.62903226,4.388322581,0.412861912,0.53,12,2,4.5,1,6.9,0.74,0.15,4.4,1.565032258,15.919236,12.09861936,0.493301973
Anthony Parker,Cle,SG,36,51,24.9,51.4,14.2,0.125,56,0.625,188,3.68627451,0.484,1.784156863,138,2.705882353,0.362,0.979529412,6.392156863,2.763686275,0.432355828,0.523,7.2,2.7,6.2,2.4,15.8,0.75,0.14,5.8,0.68627451,14.00793465,10.64603033,0.50897546
Anthony Randolph,Min,PF,22,34,15,30.9,24.2,0.144,84,0.762,199,5.852941176,0.472,2.762588235,1,0.029411765,0,0,5.882352941,2.762588235,0.46964,0.532,7.4,3.6,13.4,0.6,6.7,0.38,1.03,6.7,1.882588235,24.64024914,18.72658934,0.46964
Anthony Tolliver,Min,C,26,51,17.1,35.3,12.3,0.145,55,0.745,81,1.588235294,0.568,0.902117647,101,1.980392157,0.248,0.491137255,3.568627451,1.393254902,0.390417582,0.504,4.1,3,9.7,0.4,3.8,0.35,0.37,4,0.803431373,11.38336669,8.651358681,0.459230769
Armon Johnson,Tor,SG,22,64,24.1,49.7,14.4,0.2,84,0.69,335,5.234375,0.579,3.030703125,5,0.078125,0.4,0.03125,5.3125,3.061953125,0.576367647,0.6,7.1,6.4,15.5,1.2,8.8,0.52,1.08,6.3,0.905625,19.0810465,14.50159534,0.579308824
Arron Afflalo,Den,SG,26,62,33.5,68.8,19.2,0.095,247,0.798,478,7.709677419,0.504,3.885677419,221,3.564516129,0.398,1.418677419,11.27419355,5.304354839,0.470486409,0.584,15.2,3.2,5.5,2.4,11.2,0.58,0.21,5.8,3.179129032,19.9050855,15.12786498,0.533403433
Austin Daye,Det,PF,23,41,14.5,29.9,22.2,0.14,43,0.814,165,4.024390244,0.364,1.464878049,62,1.512195122,0.21,0.317560976,5.536585366,1.782439024,0.321938326,0.394,4.7,2.2,9.1,0.8,9.3,0.54,0.51,5.6,0.853707317,11.92959194,9.066489872,0.35061674
Avery Bradley,Bos,SG,21,64,21.2,43.9,18.1,0.147,78,0.795,348,5.4375,0.511,2.7785625,54,0.84375,0.407,0.34340625,6.28125,3.12196875,0.497029851,0.555,7.6,1.8,5,1.4,10.9,0.66,0.19,5,0.96890625,15.36731411,11.67915872,0.524365672
Baron Davis,Nyk,PG,32,29,20.3,41.7,20.6,0.281,24,0.667,99,3.413793103,0.424,1.447448276,85,2.931034483,0.306,0.896896552,6.344827586,2.344344828,0.36948913,0.457,6.1,1.9,5.5,4.7,36.6,1.14,0.1,7.5,0.552,18.07075626,13.73377476,0.440168478
Ben Gordon,Det,SG,28,52,26.7,55.1,23.5,0.163,136,0.86,383,7.365384615,0.446,3.284961538,147,2.826923077,0.429,1.21275,10.19230769,4.497711538,0.441284906,0.549,12.5,2.3,5.2,2.4,16.7,0.65,0.21,6.1,2.249230769,19.49156961,14.81359291,0.500778302
Ben Wallace,Det,C,37,62,15.6,32.2,6.7,0.242,47,0.34,82,1.322580645,0.402,0.531677419,4,0.064516129,0.25,0.016129032,1.387096774,0.547806452,0.394930233,0.398,1.4,4.3,16.6,0.7,6.5,0.76,0.82,4.1,0.257741935,12.37048078,9.401565391,0.400744186
Ben Uzoh,Tor,PG,24,16,22.1,44.7,16.1,0.157,19,0.579,93,5.8125,0.355,2.0634375,1,0.0625,0,0,5.875,2.0634375,0.351223404,0.376,4.8,3.9,10.4,3.7,27,1,0.19,7.4,0.6875625,14.41598703,10.95615014,0.351223404
Beno Udrih,Mil,PG,29,59,18.1,37.6,17.9,0.178,55,0.709,273,4.627118644,0.473,2.188627119,59,1,0.288,0.288,5.627118644,2.476627119,0.440123494,0.488,5.9,1.7,5.3,3.8,32.6,0.63,0.02,7.4,0.660932203,17.72616034,13.47188186,0.465713855
Bill Walker,Nyk,SG,24,32,19.2,39.5,15.7,0.163,20,0.85,58,1.8125,0.552,1.0005,113,3.53125,0.319,1.12646875,5.34375,2.12696875,0.39802924,0.526,5.9,2.5,7.5,1.2,9.8,0.59,0.22,5.4,0.53125,13.34446351,10.14179227,0.503429825
Bismack Biyombo,Cha,SF,19,63,22.9,47.6,13.2,0.172,143,0.483,278,4.412698413,0.464,2.047492063,0,0,0,0,4.412698413,2.047492063,0.464,0.48,5.2,5.8,14.6,0.4,3.1,0.32,1.83,4,1.096333333,15.49715603,11.77783858,0.464
Blake Griffin,Lac,PF,22,66,36.1,74.5,26.7,0.109,468,0.521,1005,15.22727273,0.556,8.466363636,16,0.242424242,0.125,0.03030303,15.46969697,8.496666667,0.549245837,0.557,20.7,10.9,17.9,3.2,16.7,0.83,0.74,9.9,3.694363636,30.38415773,23.09195987,0.550225269
Bobby Simmons,Lac,SF,31,28,14.7,30.1,11.5,0.097,7,0.571,30,1.071428571,0.267,0.286071429,60,2.142857143,0.333,0.713571429,3.214285714,0.999642857,0.311,0.43,2.9,2,7.9,0.4,3.8,0.54,0.11,3.6,0.14275,7.125115438,5.415087733,0.422
Boris Diaw,Cha,PF,29,37,27.3,56.6,17.3,0.222,27,0.63,197,5.324324324,0.472,2.513081081,86,2.324324324,0.267,0.620594595,7.648648649,3.133675676,0.40970318,0.461,7.4,5.3,11.1,4.3,27.2,0.54,0.51,8.1,0.45972973,16.13200925,12.26032703,0.450272085
Boris Diaw,San,PF,29,20,20.1,41,11.3,0.281,8,0.625,55,2.75,0.582,1.6005,13,0.65,0.615,0.39975,3.4,2.00025,0.588308824,0.65,4.7,4.3,12.1,2.4,16.2,0.7,0.3,7.3,0.25,17.5073071,13.3055534,0.647095588
Brandon Bass,Bos,PF,26,59,31.5,65.1,19.9,0.085,163,0.81,632,10.71186441,0.479,5.130983051,0,0,0,0,10.71186441,5.130983051,0.479,0.524,12.5,6.2,11.6,0.9,5.2,0.58,0.92,5.2,2.23779661,18.25156631,13.87119039,0.479
Brandon Jennings,Mil,PG,22,66,35.1,73.1,26.1,0.106,239,0.808,734,11.12121212,0.465,5.171363636,388,5.878787879,0.332,1.951757576,17,7.123121212,0.41900713,0.514,19.1,3.4,5.4,5.5,26.8,1.59,0.33,8.1,2.925939394,24.28994615,18.46035907,0.476411765
Brandon Knight,Det,PG,20,66,32,66.2,21.9,0.171,137,0.759,493,7.46969697,0.434,3.241848485,276,4.181818182,0.38,1.589090909,11.65151515,4.830939394,0.414618986,0.511,12.8,3.2,6,3.8,21,0.74,0.15,6.7,1.5755,17.22650221,13.09214168,0.482811443
Brandon Rush,Gol,SG,26,65,26.2,54.4,15.5,0.119,82,0.793,250,3.846153846,0.544,2.092307692,219,3.369230769,0.452,1.522892308,7.215384615,3.6152,0.501040512,0.628,9.8,3.8,8.3,1.4,8,0.54,0.89,5.7,1.0004,18.32482687,13.92686842,0.606571429
Brandon Wright,Dal,PF,24,49,16,32.6,17.2,0.072,82,0.634,232,4.734693878,0.621,2.940244898,1,0.020408163,0,0,4.755102041,2.940244898,0.618334764,0.632,6.9,3.6,12.5,0.3,3,0.45,1.29,4.9,1.060979592,24.05114263,18.2788684,0.618334764
Brendan Haywood,Dal,C,32,54,21,43,12.9,0.145,96,0.469,228,4.222222222,0.518,2.187111111,0,0,0,0,4.222222222,2.187111111,0.518,0.52,5.2,6,16,0.4,2.6,0.44,1,4.4,0.833777778,16.25673502,12.35511861,0.518
Byron Mullens,Cha,C,22,65,22.3,46.4,22.7,0.104,112,0.821,540,8.307692308,0.443,3.680307692,51,0.784615385,0.235,0.184384615,9.092307692,3.864692308,0.425050761,0.473,9.3,5,12.9,0.9,7.6,0.32,0.8,6.2,1.414646154,17.49402595,13.29545972,0.435190355
C.J. Miles,Uta,SF,24,56,20.2,41.2,22.9,0.092,136,0.794,315,5.625,0.416,2.34,150,2.678571429,0.307,0.822321429,8.303571429,3.162321429,0.38083871,0.484,9.1,2.1,5.9,1.2,9.8,0.84,0.3,5.6,1.928285714,17.49514671,13.2963115,0.430354839
C.J. Watson,Chi,PG,27,49,23.5,48.5,22.9,0.167,104,0.808,264,5.387755102,0.352,1.896489796,173,3.530612245,0.393,1.387530612,8.918367347,3.284020408,0.368231121,0.491,9.7,2.1,5.1,4.1,27.4,0.92,0.16,7.4,1.714938776,19.5589166,14.86477662,0.446021739
Carl Landry,Nor,PF,28,41,24.2,49.9,24.2,0.128,184,0.799,358,8.731707317,0.508,4.435707317,3,0.073170732,0,0,8.804878049,4.435707317,0.503778393,0.578,12.5,5.2,12.8,0.9,7.1,0.32,0.29,6.4,3.585756098,24.39614545,18.54107054,0.503778393
Carlos Boozer,Chi,PF,30,66,29.3,60.7,24,0.113,137,0.693,841,12.74242424,0.533,6.791712121,1,0.015151515,0,0,12.75757576,6.791712121,0.532366983,0.549,15,8.5,16.3,1.9,11.9,0.95,0.36,8.5,1.4385,25.07700854,19.05852649,0.532366983
Carlos Delfino,Mil,SF,29,54,28.3,58.8,15.6,0.122,48,0.792,213,3.944444444,0.446,1.759222222,239,4.425925926,0.36,1.593333333,8.37037037,3.352555556,0.400526549,0.514,9,3.9,7.5,2.3,12,1.46,0.19,6.1,0.704,15.61449715,11.86701783,0.49570354
Carmelo Anthony,Nyk,SF,27,55,33.9,70.2,32,0.108,367,0.804,822,14.94545455,0.454,6.785236364,203,3.690909091,0.335,1.236454545,18.63636364,8.021690909,0.430432195,0.525,22.6,6.3,10.7,3.6,21.2,1.15,0.44,9.4,5.364872727,29.61747592,22.5092817,0.463605366
Caron Butler,Lac,SF,31,63,29.5,61,20.6,0.093,107,0.813,448,7.111111111,0.435,3.093333333,257,4.079365079,0.358,1.460412698,11.19047619,4.553746032,0.406930496,0.501,12,3.7,7.4,1.2,6.9,0.83,0.13,5.1,1.380809524,14.91490935,11.33533111,0.472182979
Cartier Martin,Was,SG,27,17,22.8,47.3,17.9,0.084,19,0.579,59,3.470588235,0.508,1.763058824,75,4.411764706,0.387,1.707352941,7.882352941,3.470411765,0.440276119,0.555,9.3,3.4,8.4,0.6,4.2,0.65,0.12,4.7,0.647117647,15.81399019,12.01863255,0.548578358
Chandler Parsons,Hou,PF,23,63,28.5,58.4,16.8,0.121,78,0.551,371,5.888888889,0.507,2.985666667,178,2.825396825,0.337,0.95215873,8.714285714,3.937825397,0.451881603,0.513,9.5,4.7,9.7,2.1,11.7,1.16,0.48,6.4,0.682190476,16.59421073,12.61160016,0.506513661
Channing Frye,Pho,C,28,64,25.9,54,19.5,0.088,82,0.89,350,5.46875,0.469,2.56484375,263,4.109375,0.346,1.42184375,9.578125,3.9866875,0.416228385,0.519,10.5,5.9,12.9,1.4,8.3,0.66,1.08,6.8,1.1403125,19.28386462,14.65573711,0.490451876
Charles Jenkins,Gol,PG,22,51,17.3,35.8,19.2,0.163,39,0.872,271,5.31372549,0.469,2.492137255,20,0.392156863,0.15,0.058823529,5.705882353,2.550960784,0.447075601,0.482,5.8,1.3,4.4,3.3,30.3,0.65,0.12,6.8,0.666823529,17.01238438,12.92941213,0.45223024
Charlie Villanueva,Det,PF,27,13,13.6,27.3,26.4,0.069,7,0.857,46,3.538461538,0.435,1.539230769,45,3.461538462,0.333,1.152692308,7,2.691923077,0.38456044,0.484,7,3.7,16.2,0.5,6.5,0.54,0.38,6.9,0.461461538,19.51480186,14.83124942,0.466895604
Chase Budinger,Hou,SF,23,58,22.2,45.5,19.7,0.099,70,0.771,252,4.344827586,0.476,2.068137931,219,3.775862069,0.402,1.517896552,8.120689655,3.586034483,0.441592357,0.556,9.6,3.7,9.7,1.3,9.4,0.52,0.1,6.5,0.930517241,17.95343432,13.64461009,0.535050955
Chauncey Billups,Lac,PG,35,20,30.2,61.2,23.5,0.121,95,0.895,103,5.15,0.34,1.751,125,6.25,0.384,2.4,11.4,4.151,0.364122807,0.554,15,2.5,4.9,4,21.2,0.45,0.15,7,4.25125,22.18863075,16.86335937,0.469385965
Chris Andersen,Den,C,33,32,15,30.5,14.9,0.106,82,0.61,108,3.375,0.546,1.84275,0,0,0,0,3.375,1.84275,0.546,0.583,5.3,4.6,18,0.2,1.8,0.59,1.44,4.5,1.563125,24.43722785,18.57229317,0.546
Chris Bosh,Mia,PF,27,57,35,71.9,24.3,0.112,279,0.821,772,13.54385965,0.496,6.717754386,35,0.614035088,0.286,0.175614035,14.15789474,6.893368421,0.486892193,0.551,18,7.9,13.5,1.8,9.1,0.89,0.79,7.3,4.018578947,24.80144231,18.84909616,0.493094176
Chris Duhon,Orl,PG,29,63,19.3,39.9,11.3,0.276,21,0.81,84,1.333333333,0.417,0.556,119,1.888888889,0.42,0.793333333,3.222222222,1.349333333,0.418758621,0.558,3.8,1.6,4.8,2.4,19.3,0.56,0.14,5.1,0.27,11.61556408,8.827828703,0.541862069
Chris Kaman,Nor,C,29,47,29,59.8,26.9,0.167,107,0.785,597,12.70212766,0.446,5.665148936,0,0,0,0,12.70212766,5.665148936,0.446,0.478,13.1,7.7,15.9,2.1,14.1,0.53,1.64,8.2,1.78712766,21.91681476,16.65677922,0.446
Chris Paul,Lac,PG,26,60,36.2,74.7,24.4,0.108,302,0.861,678,11.3,0.51,5.763,213,3.55,0.371,1.31705,14.85,7.08005,0.476771044,0.581,19.8,3.6,5.8,9.1,44.1,2.52,0.07,9.6,4.3337,32.06823467,24.37185835,0.521116162
Chris Singleton,Was,SF,22,66,21.5,44.6,11.7,0.103,44,0.682,185,2.803030303,0.389,1.090378788,127,1.924242424,0.346,0.665787879,4.727272727,1.756166667,0.371496795,0.462,4.6,3.5,9.3,0.7,5.1,1.06,0.44,4.2,0.454666667,11.32621321,8.60792204,0.441916667
Chris Wilcox,Bos,PF,29,28,17,34.9,15.5,0.195,39,0.615,107,3.821428571,0.598,2.285214286,0,0,0,0,3.821428571,2.285214286,0.598,0.612,5.4,4.4,15.1,0.4,4.2,0.39,0.32,5,0.856607143,18.01695,13.692882,0.598
Chuck Hayes,Sac,PF,28,54,19,39.4,10,0.211,39,0.667,168,3.111111111,0.435,1.353333333,2,0.037037037,0,0,3.148148148,1.353333333,0.429882353,0.459,3.2,4.3,12.5,1.4,10.4,0.67,0.31,5.6,0.481722222,12.5799098,9.560731449,0.429882353
Corey Brewer,Den,SF,25,59,21.6,44.4,20.2,0.097,130,0.692,337,5.711864407,0.501,2.861644068,128,2.169491525,0.258,0.559728814,7.881355932,3.421372881,0.434109677,0.505,8.9,2.5,6.9,1.5,10.7,1.22,0.29,6,1.524745763,18.59125271,14.12935206,0.469619355
Corey Maggette,Cha,SF,32,32,27.3,56.6,27.6,0.113,208,0.856,307,9.59375,0.375,3.59765625,66,2.0625,0.364,0.75075,11.65625,4.34840625,0.373053619,0.517,15,3.9,8.2,1.2,8.4,0.72,0.03,6,5.564,23.05712928,17.52341826,0.405257373
Cory Higgins,Cha,SG,22,38,10.9,22.6,25.1,0.173,60,0.7,140,3.684210526,0.343,1.263684211,20,0.526315789,0.2,0.105263158,4.210526316,1.368947368,0.325125,0.402,3.9,0.9,4.8,0.9,15.4,0.13,0.16,5.4,1.105263158,10.7282569,8.153475247,0.337625
Courtney Lee,Hou,SG,26,58,30.1,61.6,17.8,0.095,86,0.826,363,6.25862069,0.452,2.828896552,217,3.74137931,0.401,1.500293103,10,4.329189655,0.432918966,0.534,11.4,2.7,5.3,1.5,8.1,1.17,0.38,4.8,1.224758621,15.4929215,11.77462034,0.507933621
D.J. Augustin,Cha,PG,24,48,29.1,60.5,21.4,0.169,120,0.875,308,6.416666667,0.396,2.541,179,3.729166667,0.341,1.271645833,10.14583333,3.812645833,0.375784394,0.493,11.1,2.3,4.5,6.4,39.2,0.75,0.02,7.5,2.1875,19.67470019,14.95277214,0.438452772
D.J. White,Cha,PF,31,58,18.8,38.9,17.9,0.102,61,0.705,352,6.068965517,0.491,2.979862069,1,0.017241379,1,0.017241379,6.086206897,2.997103448,0.492441926,0.516,6.8,3.6,11,0.8,8.1,0.29,0.4,5.7,0.741465517,15.63908037,11.88570108,0.493858357
Daequan Cook,Okc,SG,24,57,17.1,35.3,14.9,0.05,22,0.636,68,1.192982456,0.441,0.526105263,228,4,0.346,1.384,5.192982456,1.910105263,0.367824324,0.509,5.5,2.1,7.1,0.3,2.3,0.39,0.21,3.5,0.245473684,10.35467384,7.869552121,0.501081081
Dahntay Jones,Ind,SG,31,65,16,33,16.1,0.124,99,0.838,203,3.123076923,0.399,1.246107692,77,1.184615385,0.429,0.5082,4.307692308,1.754307692,0.40725,0.532,5.3,1.8,6.3,1,9.7,0.35,0.17,5.3,1.276338462,14.34938188,10.90553023,0.4662375
DaJuan Summers,Nor,PF,23,15,13.7,27.8,17.7,0.104,9,0.778,49,3.266666667,0.469,1.532066667,16,1.066666667,0.313,0.333866667,4.333333333,1.865933333,0.4306,0.493,4.5,1.5,6.7,0.7,8.3,0.47,0,4.9,0.4668,11.8813695,9.029840823,0.469123077
Damien Wilkins,Det,SF,31,60,15.2,31.4,12.5,0.122,54,0.63,170,2.833333333,0.406,1.150333333,23,0.383333333,0.304,0.116533333,3.216666667,1.266866667,0.39384456,0.445,3.2,1.7,6.5,0.7,7.6,0.47,0.22,4.1,0.567,9.175417545,6.973317334,0.411958549
Daniel Gibson,Cle,SG,25,35,26,53.3,15.4,0.144,43,0.791,109,3.114285714,0.294,0.9156,139,3.971428571,0.396,1.572685714,7.085714286,2.488285714,0.351169355,0.493,7.5,2.9,6.3,2.2,13.7,0.74,0.46,5.6,0.9718,13.32081898,10.12382243,0.462145161
Daniel Green,San,SG,24,66,22.8,47.3,17.8,0.114,100,0.79,243,3.681818182,0.449,1.653136364,234,3.545454545,0.436,1.545818182,7.227272727,3.198954545,0.442622642,0.579,9.1,3.5,8.7,1.3,8.4,0.88,0.7,6.1,1.196969697,19.40583925,14.74843783,0.549566038
Daniel Orton,Orl,PF,21,16,11.4,23.1,12.3,0.146,25,0.44,29,1.8125,0.586,1.062125,1,0.0625,0,0,1.875,1.062125,0.566466667,0.549,2.8,2.4,12.3,0.3,4.4,0.5,0.56,4.4,0.6875,16.20693511,12.31727068,0.566466667
Danilo Gallinari,Den,SF,23,43,31.3,63.9,20.8,0.109,209,0.871,283,6.581395349,0.47,3.093255814,183,4.255813953,0.328,1.395906977,10.8372093,4.489162791,0.414236052,0.563,14.6,4.7,8.8,2.7,13.1,0.98,0.53,7.3,4.233465116,23.29136239,17.70143542,0.478639485
Danny Granger,Ind,SF,28,62,33.1,68.2,26.1,0.094,291,0.873,618,9.967741935,0.434,4.326,323,5.209677419,0.381,1.984887097,15.17741935,6.310887097,0.415807651,0.542,18.7,5,8.4,1.8,9.7,1,0.65,6.7,4.097467742,23.8536806,18.12879726,0.481197131
Dante Cunningham,Mem,SF,24,64,17.4,35.9,13.8,0.086,69,0.652,277,4.328125,0.52,2.250625,2,0.03125,0,0,4.359375,2.250625,0.516272401,0.538,5.2,3.8,12.9,0.6,5.3,0.66,0.53,5.2,0.7029375,16.50748413,12.54568794,0.516272401
Darko Milicic,Min,C,26,29,16.1,33,17,0.179,37,0.432,130,4.482758621,0.454,2.035172414,0,0,0,0,4.482758621,2.035172414,0.454,0.458,4.6,3.3,11.5,0.6,6,0.31,0.86,5.2,0.551172414,14.15699791,10.75931841,0.454
Darren Collison,Ind,PG,24,60,31.1,64.1,17.1,0.162,153,0.83,429,7.15,0.455,3.25325,94,1.566666667,0.362,0.567133333,8.716666667,3.820383333,0.438284895,0.524,10.3,3.1,5.6,4.8,25.2,0.82,0.22,6.9,2.1165,18.07777868,13.7391118,0.470816444
David Lee,Gol,PF,28,57,37,76.7,26.1,0.125,280,0.782,917,16.0877193,0.506,8.140385965,5,0.087719298,0,0,16.1754386,8.140385965,0.503255965,0.549,20.1,9.5,14.6,2.8,13.7,0.96,0.39,8.8,3.841403509,26.56623531,20.19033884,0.503255965
David West,Ind,PF,31,66,29,59.8,21,0.105,176,0.807,708,10.72727273,0.492,5.277818182,9,0.136363636,0.222,0.030272727,10.86363636,5.308090909,0.488610879,0.531,12.8,6.6,12.7,2.1,13.1,0.79,0.7,7.8,2.152,22.10288873,16.79819544,0.490004184
DeAndre Jordan,Lac,C,23,66,27.1,55.9,11.9,0.16,141,0.525,325,4.924242424,0.634,3.121969697,1,0.015151515,0,0,4.939393939,3.121969697,0.632055215,0.626,7.4,8.3,18.2,0.3,1.5,0.45,2.05,3.9,1.121590909,19.87874736,15.10784799,0.632055215
DeJuan Blair,San,PF,22,64,21.1,43.7,21.9,0.142,119,0.613,503,7.859375,0.535,4.204765625,1,0.015625,0,0,7.875,4.204765625,0.533938492,0.549,9.5,5.5,14.9,1.2,9.3,0.92,0.19,7.5,1.139796875,22.87350261,17.38386198,0.533938492
Delonte West,Dal,SG,28,44,23.9,48.7,20.6,0.163,70,0.886,284,6.454545455,0.489,3.156272727,76,1.727272727,0.355,0.613181818,8.181818182,3.769454545,0.460711111,0.539,9.6,2.3,5.4,3.2,22.5,1.32,0.25,6.9,1.409545455,20.39785567,15.50237031,0.498183333
DeMar DeRozan,Tor,SG,22,63,34.8,72,25.2,0.105,331,0.81,811,12.87301587,0.44,5.664126984,92,1.46031746,0.261,0.381142857,14.33333333,6.045269841,0.421763012,0.503,16.7,3.3,5.6,2,10.9,0.76,0.27,5.5,4.255714286,18.88066081,14.34930221,0.435058693
